year,origin,origin_code,origin_region,origin_lat,origin_lon,destination,destination_code,destination_region,destination_lat,destination_lon,is_interstate,is_cross_region,distance_km,tourist_flow_thousands,dest_total_tourists_thousands,origin_market_share_pct,dest_alos_days,dest_spend_per_night_rm,dest_accommodation_expenditure_rm_million,dest_aor_pct,dest_rooms_count,dest_domestic_hotel_guests,dest_foreign_hotel_guests,dest_foreign_guest_share_pct,corridor_implied_accom_spend_rm_million,flow_2019_thousands,recovery_rate_vs_2019_pct,corridor_trajectory_class,dest_alos,dest_spend_per_tourist,dest_spend_per_night,dest_accom_share,dest_accom_expenditure_m,corridor_tier,origin_share_of_dest_pct
2025,Selangor,MY-10,Central,3.0738,101.5183,Perak,MY-08,Northern,4.694,101.0901,True,False,186.32,3116.563,10413.82,29.93,2.44,31.32,795.67,46.4,19572.0,4291891.0,944578.0,18.04,238.12,2899.74,107.5,Resilient Anchor,2.44,76.4,31.32,0.0992,795.67,Priority Conversion Corridor,35.33
2025,Selangor,MY-10,Central,3.0738,101.5183,Melaka,MY-04,Southern,2.2458,102.2741,True,False,124.6,2725.941,7178.691,37.97,2.11,63.0,954.52,46.1,20655.0,3484720.0,1654330.0,32.19,362.46,1682.477,162.0,Structural Gainer (Surge),2.11,132.97,63.0,0.1093,954.52,Priority Conversion Corridor,38.78
2025,Selangor,MY-10,Central,3.0738,101.5183,Pahang,MY-06,East Coast,3.8126,102.3256,True,False,121.56,2517.564,11045.98,22.79,2.21,53.78,1312.31,76.3,34401.0,10011366.0,2953226.0,22.78,299.1,2130.733,118.2,Resilient Anchor,2.21,118.8,53.78,0.1333,1312.31,Priority Conversion Corridor,29.81
2025,Selangor,MY-10,Central,3.0738,101.5183,Pulau Pinang,MY-07,Northern,5.4141,100.3288,True,False,291.75,2362.7,5629.544,41.97,2.65,72.28,1079.52,58.6,28045.0,5293653.0,3472459.0,39.61,453.07,1507.592,156.7,Structural Gainer (Surge),2.65,191.76,72.28,0.1271,1079.52,Protect & Deepen,44.52
2025,W.P. Kuala Lumpur,MY-14,Central,3.139,101.6869,Perak,MY-08,Northern,4.694,101.0901,True,False,185.15,2017.802,10413.82,19.38,2.44,31.32,795.67,46.4,19572.0,4291891.0,944578.0,18.04,154.17,1465.964,137.6,Structural Gainer (Surge),2.44,76.4,31.32,0.0992,795.67,Priority Conversion Corridor,22.87
2025,Selangor,MY-10,Central,3.0738,101.5183,Johor,MY-01,Southern,1.9344,103.3587,True,False,240.52,1995.977,9821.9,20.32,2.68,42.98,1131.27,54.2,35799.0,7382730.0,3250524.0,30.57,229.89,2590.733,77.0,Emerging / Modest Growth,2.68,115.18,42.98,0.1297,1131.27,Priority Conversion Corridor,31.19
2025,Selangor,MY-10,Central,3.0738,101.5183,Negeri Sembilan,MY-05,Central,2.7258,102.243,True,False,89.3,1980.107,6547.023,30.24,2.29,37.78,567.6,44.2,11527.0,2154435.0,497085.0,18.75,171.67,2086.472,94.9,Resilient Anchor,2.29,86.7,37.78,0.0869,567.6,Priority Conversion Corridor,32.53
2025,Selangor,MY-10,Central,3.0738,101.5183,W.P. Kuala Lumpur,MY-14,Central,3.139,101.6869,True,False,20.07,1819.35,10078.573,18.05,2.33,82.96,1945.36,66.9,66133.0,10353924.0,13383492.0,56.38,351.17,287.093,633.7,Structural Gainer (Surge),2.33,193.02,82.96,0.1151,1945.36,Priority Conversion Corridor,19.15
2025,Perak,MY-08,Northern,4.694,101.0901,W.P. Kuala Lumpur,MY-14,Central,3.139,101.6869,True,False,185.15,1771.244,10078.573,17.57,2.33,82.96,1945.36,66.9,66133.0,10353924.0,13383492.0,56.38,341.88,609.967,290.4,Structural Gainer (Surge),2.33,193.02,82.96,0.1151,1945.36,Priority Conversion Corridor,18.65
2025,Perak,MY-08,Northern,4.694,101.0901,Selangor,MY-10,Central,3.0738,101.5183,True,False,186.32,1716.467,10595.556,16.2,2.31,60.67,1487.46,54.8,35066.0,6296432.0,3614885.0,36.47,240.97,1047.436,163.9,Structural Gainer (Surge),2.31,140.39,60.67,0.0944,1487.46,Priority Conversion Corridor,21.02
