year,state,latitude,longitude,visitors_thousands,tourists_thousands,excursionists_thousands,trips_thousands,alos_days,total_expenditure_rm_million,accommodation_expenditure_rm_million,food_expenditure_rm_million,shopping_expenditure_rm_million,transport_expenditure_rm_million,fuel_expenditure_rm_million,pretrip_package_rm_million,other_expenditure_rm_million,household_expenditure_rm_million,accommodation_share,spend_per_visitor_rm,spend_per_tourist_rm,spend_per_night_rm,tourist_nights_thousands,yield_typology,total_visitor_days_thousands,tourism_economic_yield_per_day_rm,excursionist_pressure_ratio,estimated_retained_gva_rm_million,value_retention_rate_pct,policy_prescription,paid_commercial_share_pct,unpaid_vfr_share_pct,hotel_share_pct,homestay_share_pct,apartment_share_pct,holiday_leisure_share_pct,vfr_purpose_share_pct,shopping_purpose_share_pct,medical_wellness_share_pct,business_mice_share_pct,private_vehicle_share_pct,air_transport_share_pct,bus_transport_share_pct,train_transport_share_pct,b40_share_pct,m40_share_pct,t20_share_pct,affluence_index,total_hotels,total_rooms,star_rated_rooms,star_room_share_pct,visitor_growth_pct,alos_delta_days,recovery_pattern
2025,W.P. Kuala Lumpur,3.139,101.6869,35059.93,10078.57,24981.36,36169.27,2.33,16906.19,1945.36,2285.16,7903.11,1241.07,1610.26,593.72,772.33,555.19,0.1151,55.49,193.02,82.96,23448.79,"Transit Spender (Short Stay, High Spend/Tourist)",48464.43,348.84,2.48,10239.87,60.57,"Capture day-trip leakage through night-time economy, cultural evening showcases, and secondary district circuit packaging.",49.6,50.4,25.1,7.0,11.7,28.69,35.54,10.18,3.05,8.92,90.7,0.0,5.9,2.3,33.0,40.1,26.9,93.9,255,50423,37073,73.52,54.9,-0.06,"Volume Recovered, Stay Lagging (Opportunity Gap)"
2025,Selangor,3.0738,101.5183,36376.44,10595.56,25780.89,40803.5,2.31,15761.73,1487.46,2482.16,6661.69,1043.95,2166.56,563.0,599.81,757.09,0.0944,40.89,140.39,60.67,24516.76,"Transit Spender (Short Stay, High Spend/Tourist)",50256.63,313.62,2.43,9294.05,58.97,"Capture day-trip leakage through night-time economy, cultural evening showcases, and secondary district circuit packaging.",44.9,55.1,20.3,11.6,8.3,32.5,50.51,7.04,0.05,0.54,90.9,0.0,6.6,1.6,49.6,34.1,16.3,66.7,211,26781,18842,70.36,8.3,0.07,Balanced Expansion (Volume & Stay Expanded)
2025,Pahang,3.8126,102.3256,23161.17,11045.98,12115.19,25285.26,2.21,9846.77,1312.31,1444.25,2965.38,608.29,1404.85,498.54,567.16,1045.99,0.1333,56.66,118.8,53.78,24399.37,"Transit Spender (Short Stay, High Spend/Tourist)",36526.81,269.58,1.1,5718.69,58.08,"Capture day-trip leakage through night-time economy, cultural evening showcases, and secondary district circuit packaging.",53.7,46.3,31.1,9.9,6.0,33.98,46.88,5.21,1.23,0.62,93.1,0.01,3.7,0.3,55.3,31.1,13.6,58.3,305,26037,17567,67.47,25.2,-0.28,"Volume Recovered, Stay Lagging (Opportunity Gap)"
2025,Sabah,5.9788,116.0753,22361.17,7359.89,15001.28,26440.76,3.15,9753.33,1073.57,1459.23,3589.15,836.01,1250.95,508.78,309.26,726.38,0.1101,48.01,145.87,46.37,23150.76,"High-Yield Destination (Long Stay, High Spend/Tourist)",38184.93,255.42,2.04,5636.89,57.79,Preserve premium yield; monitor environmental carrying capacity; protect luxury nature and heritage assets.,42.7,57.3,19.3,13.0,1.4,36.93,40.3,5.28,1.53,1.87,89.9,2.6,6.3,0.1,67.0,24.9,8.1,41.1,438,25692,12176,47.39,1.5,0.36,Balanced Expansion (Volume & Stay Expanded)
2025,Sarawak,2.5574,113.0012,22721.53,6329.89,16391.63,26387.97,3.1,9138.38,872.6,1314.35,3647.93,789.29,1266.91,296.2,310.81,640.28,0.0955,38.4,137.85,44.42,19642.56,"High-Yield Destination (Long Stay, High Spend/Tourist)",36014.29,253.74,2.59,5293.82,57.93,Preserve premium yield; monitor environmental carrying capacity; protect luxury nature and heritage assets.,43.5,56.5,21.3,9.6,7.1,22.28,59.32,6.52,1.5,1.49,94.7,0.1,2.0,0.5,60.5,30.0,9.5,49.0,390,22065,10555,47.84,14.8,-0.33,"Volume Recovered, Stay Lagging (Opportunity Gap)"
2025,Melaka,2.2458,102.2741,20832.2,7178.69,13653.51,26436.44,2.11,8732.4,954.52,1460.17,3125.36,485.0,1192.86,364.06,389.72,760.71,0.1093,45.82,132.97,63.0,15150.48,"Transit Spender (Short Stay, High Spend/Tourist)",28800.55,303.2,1.9,5104.57,58.46,"Capture day-trip leakage through night-time economy, cultural evening showcases, and secondary district circuit packaging.",58.3,41.7,30.7,14.2,9.5,41.23,43.0,3.84,1.18,0.31,89.6,0.0,4.8,1.0,54.0,35.4,10.6,56.6,181,20550,13351,64.97,49.0,-0.18,"Volume Recovered, Stay Lagging (Opportunity Gap)"
2025,Johor,1.9344,103.3587,18196.97,9821.9,8375.07,21246.66,2.68,8722.92,1131.27,1333.18,2746.98,692.67,1210.56,316.6,350.27,941.39,0.1297,62.17,115.18,42.98,26320.48,"Budget Retreat (Long Stay, Low Spend/Tourist)",34697.76,251.4,0.85,5023.99,57.6,"VFR monetization priority: Deepen commercial accommodation penetration, expand boutique eco-resorts, and monetize local heritage.",38.9,61.1,23.4,6.9,3.4,23.89,55.58,9.24,0.34,1.91,90.4,0.1,5.7,3.0,53.9,33.4,12.7,58.8,496,33768,17469,51.73,27.5,0.14,Balanced Expansion (Volume & Stay Expanded)
2025,Pulau Pinang,5.4141,100.3288,17717.98,5629.54,12088.43,21626.74,2.65,8490.36,1079.52,1378.62,3423.33,512.17,1019.16,368.57,347.86,361.13,0.1271,60.93,191.76,72.28,14934.65,"High-Yield Destination (Long Stay, High Spend/Tourist)",27006.71,314.38,2.15,5087.88,59.93,Preserve premium yield; monitor environmental carrying capacity; protect luxury nature and heritage assets.,54.6,45.4,34.7,7.0,10.0,34.3,60.94,0.48,0.16,0.81,92.3,0.0,3.9,0.8,55.1,32.5,12.4,57.3,253,25603,17157,67.01,15.0,0.15,Balanced Expansion (Volume & Stay Expanded)
2025,Perak,4.694,101.0901,23642.06,10413.82,13228.24,25696.51,2.44,8018.54,795.67,1637.04,2250.35,543.73,1390.86,228.12,269.12,903.66,0.0992,33.65,76.4,31.32,25403.19,"Volume Trap (Low ALOS, Low Spend/Tourist)",38637.96,207.53,1.27,4474.91,55.81,Commercial lodging conversion: Upgrade private VFR lodging into certified homestays; bundle multi-day experiential packages to lift ALOS.,36.0,64.0,17.4,9.4,3.5,18.99,61.6,4.28,0.94,3.21,95.7,1.0,3.2,0.5,60.9,29.3,9.8,48.9,341,18181,6828,37.56,12.2,0.23,Balanced Expansion (Volume & Stay Expanded)
2025,Negeri Sembilan,2.7258,102.243,19356.54,6547.02,12809.52,24064.31,2.29,6529.26,567.6,1151.8,2166.54,417.57,936.21,427.98,226.55,635.0,0.0869,29.32,86.7,37.78,15024.88,"Volume Trap (Low ALOS, Low Spend/Tourist)",27802.2,234.85,1.96,3705.04,56.75,"Shift focus from volume to length of stay; bundle evening cultural events, weekend passes, and premium boutique lodging.",44.6,55.4,24.1,9.0,8.3,34.62,44.87,6.37,1.29,5.51,94.1,0.1,2.6,0.1,58.8,29.1,12.1,53.3,160,13274,7615,57.37,45.5,-0.17,"Volume Recovered, Stay Lagging (Opportunity Gap)"
