city_slug,city_query,search_page,search_position,title,url,address,score_raw,score_right,stars,preferred_partner,travel_sustainable_badge,sustainability_level_raw,room_type_count,property_type,sub_staff,sub_facilities,sub_cleanliness,sub_comfort,sub_value_for_money,sub_location,sub_free_wifi,facility_group_count,popular_facility_count,badge_count,popular_facilities_str,facility_groups_str
cameron,Cameron Highlands,1,1,Rain Forest Inn,https://www.booking.com/hotel/my/rain-forest-inn.html?aid=304142&label=gen173nr-10CAQoggI46wdIM1gEaKEBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAK-iLXVBsACAdICJDYzOGM3ZGU1LTlhZGEtNDdlMC1iNDBkLWU3NTQ5NmU4MzQyYdgCAeACAQ&sid=cf00c68bdb4f08ecdb7a0a1c170efb49&all_sr_blocks=112753201_347326996_2_1_0&checkin=2026-11-01&checkout=2026-11-02&dist=0&group_adults=2&group_children=0&hapos=1&highlighted_blocks=112753201_347326996_2_1_0&hpos=1&matching_block_id=112753201_347326996_2_1_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=112753201_347326996_2_1_0__21800&srepoch=1789740105&srpvid=6bb6629feb2704fc&type=total&ucfs=1&,"Pos Menson, 39000 Tanah Rata, Pahang, Malaysia, 39200 Ringlet, Malaysia",9.5 Exceptional · 388 reviews,9.5 Rated: Exceptional 9.5 – based on 388 reviews Expand ratings and reviews section Exceptional 388 reviews,0,False,False,,11,Booking.com,9.9,9,8.9,9.1,9.3,9.6,,17,10,0,Airport shuttle | Non-smoking rooms | Free parking | Family rooms | Very Good Breakfast | Airport shuttle | Non-smoking rooms | Free parking | Family rooms | Very Good Breakfast,"Great for your stay | Bathroom | View | Outdoors | Kitchen | Room amenities | Activities | Living Area | Internet
No internet access available. | Parking
Free private parking is available on site (reservation is not needed). | Transportation | Services | Safety & security | General | Accessibility | Spa | Languages Spoken"
cameron,Cameron Highlands,1,2,A'moss Farmstay,https://www.booking.com/hotel/my/a-39-moss-farmstay.html?aid=304142&label=gen173nr-10CAQoggI46wdIM1gEaKEBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAK-iLXVBsACAdICJDYzOGM3ZGU1LTlhZGEtNDdlMC1iNDBkLWU3NTQ5NmU4MzQyYdgCAeACAQ&sid=cf00c68bdb4f08ecdb7a0a1c170efb49&all_sr_blocks=551562603_203446679_2_34_0&checkin=2026-11-01&checkout=2026-11-02&dist=0&group_adults=2&group_children=0&hapos=2&highlighted_blocks=551562603_203446679_2_34_0&hpos=2&matching_block_id=551562603_203446679_2_34_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=551562603_203446679_2_34_0__47880&srepoch=1789740105&srpvid=6bb6629feb2704fc&type=total&ucfs=1&,"Amoss street , kampung gerak sepadu Jalan bahagian gunung brinchang,  sungai palas,, 39100 Cameron Highlands, Malaysia",8.4 Very Good · 142 reviews,8.4 Rated: Very Good 8.4 – based on 142 reviews Expand ratings and reviews section Very Good 142 reviews,0,False,False,,19,Booking.com,9.1,8.5,8.4,8.5,8.2,8.5,7.5,11,14,0,Free parking | Non-smoking rooms | Good free Wifi (22 Mbps) | Restaurant | Family rooms | BBQ facilities | Breakfast | Free parking | Non-smoking rooms | Good free Wifi (22 Mbps) | Restaurant | Family rooms | BBQ facilities | Breakfast,"Great for your stay | Bathroom | Outdoors | Activities | Food & Drink | Internet
Good free Wifi 22 Mbps. Suitable for streaming HD content and making video calls. Speed test carried out by the host. | Parking
Free private parking is available on site (reservation is not needed). | Services | Safety & security | General | Languages Spoken"
cameron,Cameron Highlands,1,3,Oakwood Cameron Highlands,https://www.booking.com/hotel/my/oakwood-cameron-highlands.html?aid=304142&label=gen173nr-10CAQoggI46wdIM1gEaKEBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAK-iLXVBsACAdICJDYzOGM3ZGU1LTlhZGEtNDdlMC1iNDBkLWU3NTQ5NmU4MzQyYdgCAeACAQ&sid=cf00c68bdb4f08ecdb7a0a1c170efb49&all_sr_blocks=1570989103_428178448_2_2_0&checkin=2026-11-01&checkout=2026-11-02&dist=0&group_adults=2&group_children=0&hapos=3&highlighted_blocks=1570989103_428178448_2_2_0&hpos=3&matching_block_id=1570989103_428178448_2_2_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=1570989103_428178448_2_2_0__35105&srepoch=1789740105&srpvid=6bb6629feb2704fc&type=total&ucfs=1&,"Oakwood Cameron Highlands, 39000 Cameron Highlands, Malaysia",8.5 Very Good · 702 reviews,8.5 Rated: Very Good 8.5 – based on 702 reviews Expand ratings and reviews section Very Good 702 reviews,4,False,False,,97,Booking.com,9,8.7,9.1,9.1,8.6,9.1,9.1,20,20,0,Free parking | Non-smoking rooms | Room service | Free Wifi | 2 restaurants | Fitness center | Facilities for disabled guests | Family rooms | Tea/Coffee Maker in All Rooms | Good Breakfast | Free parking | Non-smoking rooms | Room service | Free Wifi | 2 restaurants | Fitness center | Facilities for disabled guests | Family rooms | Tea/Coffee Maker in All Rooms | Good Breakfast,"Great for your stay | Bathroom | Bedroom | Outdoors | Kitchen | Room amenities | Activities | Living Area | Media & Technology | Food & Drink | Internet
Wifi is available in all areas and is free of charge. | Parking
Free private parking is available on site (reservation is not needed). | Front Desk Services | Cleaning Services | Business Facilities | Safety & security | General | Accessibility | Spa | Languages Spoken"
cameron,Cameron Highlands,1,4,"Kensington Sunrise sg, Palas Horizon,kea farm",https://www.booking.com/hotel/my/kensington-sunrise-sg-palas-horizon-kea-farm.html?aid=304142&label=gen173nr-10CAQoggI46wdIM1gEaKEBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAK-iLXVBsACAdICJDYzOGM3ZGU1LTlhZGEtNDdlMC1iNDBkLWU3NTQ5NmU4MzQyYdgCAeACAQ&sid=cf00c68bdb4f08ecdb7a0a1c170efb49&all_sr_blocks=1104470105_383363678_2_0_0&checkin=2026-11-01&checkout=2026-11-02&dist=0&group_adults=2&group_children=0&hapos=4&highlighted_blocks=1104470105_383363678_2_0_0&hpos=4&matching_block_id=1104470105_383363678_2_0_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=1104470105_383363678_2_0_0__18810&srepoch=1789740105&srpvid=6bb6629feb2704fc&type=total&ucfs=1&,"Jalan Gunung Brincang, Tanah Rata, Jalan Horizon, kea farm, 39000 Brinchang, Malaysia",9.0 Wonderful · 779 reviews,9.0 Rated: Wonderful 9 – based on 779 reviews Expand ratings and reviews section Wonderful 779 reviews,3,False,False,,31,Booking.com,9.4,9.1,9.1,9.2,9.1,9.1,8.5,16,10,0,Outdoor swimming pool | Free parking | Non-smoking rooms | Free Wifi | Family rooms | Outdoor swimming pool | Free parking | Non-smoking rooms | Free Wifi | Family rooms,"Great for your stay | Parking
Free private parking is available on site (reservation is not needed). | Internet
Wifi is available in all areas and is free of charge. | Kitchen | Bedroom | Bathroom | Living Area | Media & Technology | Room amenities | Outdoors | Outdoor swimming pool
Free! | Outdoor & View | Building Characteristics | Front Desk Services | Miscellaneous | Languages Spoken"
cameron,Cameron Highlands,1,5,Cameron Lavender Mansion by PLAY,https://www.booking.com/hotel/my/cameron-lavender-mansion-by-play.html?aid=304142&label=gen173nr-10CAQoggI46wdIM1gEaKEBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAK-iLXVBsACAdICJDYzOGM3ZGU1LTlhZGEtNDdlMC1iNDBkLWU3NTQ5NmU4MzQyYdgCAeACAQ&sid=cf00c68bdb4f08ecdb7a0a1c170efb49&all_sr_blocks=1062910904_0_2_0_0&checkin=2026-11-01&checkout=2026-11-02&dist=0&group_adults=2&group_children=0&hapos=5&highlighted_blocks=1062910904_0_2_0_0&hpos=5&matching_block_id=1062910904_0_2_0_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=1062910904_0_2_0_0__27603&srepoch=1789740105&srpvid=6bb6629feb2704fc&type=total&ucfs=1&,"Jalan Golden Hills 8, PT 3002, 39000 Brinchang, Malaysia",8.5 Very Good · 853 reviews,8.5 Rated: Very Good 8.5 – based on 853 reviews Expand ratings and reviews section Very Good 853 reviews,0,False,False,,58,Booking.com,8.8,8.7,9.1,9.1,8.5,8.7,7.5,8,10,0,Free parking | Non-smoking rooms | Free Wifi | Restaurant | Very Good Breakfast | Free parking | Non-smoking rooms | Free Wifi | Restaurant | Very Good Breakfast,"Great for your stay | Food & Drink | Internet
Wifi is available in all areas and is free of charge. | Parking
Free public parking is available on site (reservation is not needed). | Services | Safety & security | General | Languages Spoken"
cameron,Cameron Highlands,1,6,Copthorne Hotel Cameron Highlands,https://www.booking.com/hotel/my/equatorial-cameron-highlands.html?aid=304142&label=gen173nr-10CAQoggI46wdIM1gEaKEBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAK-iLXVBsACAdICJDYzOGM3ZGU1LTlhZGEtNDdlMC1iNDBkLWU3NTQ5NmU4MzQyYdgCAeACAQ&sid=cf00c68bdb4f08ecdb7a0a1c170efb49&all_sr_blocks=2564873_101167114_2_2_0_590545&checkin=2026-11-01&checkout=2026-11-02&dist=0&group_adults=2&group_children=0&hapos=6&highlighted_blocks=2564873_101167114_2_2_0_590545&hpos=6&matching_block_id=2564873_101167114_2_2_0_590545&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=2564873_101167114_2_2_0_590545_18800&srepoch=1789740105&srpvid=6bb6629feb2704fc&type=total&ucfs=1&,"Kea Farm, Brinchang, 39100 Cameron Highlands, Malaysia","7.5 Good · 10,043 reviews","7.5 Rated: Good 7.5 – based on 10,043 reviews Expand ratings and reviews section Good 10,043 reviews",4,False,False,,153,Booking.com,8.4,7.6,7.7,7.7,7.8,8.8,7.4,19,20,0,Indoor swimming pool | Free parking | Non-smoking rooms | Room service | Free Wifi | 3 restaurants | Fitness center | Family rooms | Tea/Coffee Maker in All Rooms | Good Breakfast | Indoor swimming pool | Free parking | Non-smoking rooms | Room service | Free Wifi | 3 restaurants | Fitness center | Family rooms | Tea/Coffee Maker in All Rooms | Good Breakfast,"Great for your stay | Bathroom | Bedroom | View | Outdoors | Kitchen | Activities | Living Area | Media & Technology | Food & Drink | Internet
Wifi is available in all areas and is free of charge. | Parking
Free public parking is available on site (reservation is not needed). | Services | Front Desk Services | Safety & security | General | Indoor swimming pool
Free! | Spa | Languages Spoken"
cameron,Cameron Highlands,1,7,"Kensington Sunrise at Sg Palas,PalasHorizon",https://www.booking.com/hotel/my/palas-horizon-by-kensington-cameron-sunshine-homestay.html?aid=304142&label=gen173nr-10CAQoggI46wdIM1gEaKEBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAK-iLXVBsACAdICJDYzOGM3ZGU1LTlhZGEtNDdlMC1iNDBkLWU3NTQ5NmU4MzQyYdgCAeACAQ&sid=cf00c68bdb4f08ecdb7a0a1c170efb49&all_sr_blocks=670978906_274100592_2_0_0&checkin=2026-11-01&checkout=2026-11-02&dist=0&group_adults=2&group_children=0&hapos=7&highlighted_blocks=670978906_274100592_2_0_0&hpos=7&matching_block_id=670978906_274100592_2_0_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=670978906_274100592_2_0_0__15552&srepoch=1789740105&srpvid=6bb6629feb2704fc&type=total&ucfs=1&,"Jalan Palas Horizon, Jalan Gunung Brincang, Kea Farm, Palas Horizon, 39000 Tanah Rata, Malaysia",8.9 Excellent · 940 reviews,8.9 Rated: Excellent 8.9 – based on 940 reviews Expand ratings and reviews section Excellent 940 reviews,4,False,False,,31,Booking.com,9.3,8.9,9,9,9,9,8.7,16,6,0,Free parking | Free Wifi | Restaurant | Free parking | Free Wifi | Restaurant,"Great for your stay | Parking
Free private parking is available on site (reservation is not needed). | Internet
Wifi is available in all areas and is free of charge. | Kitchen | Bedroom | Bathroom | Living Area | Media & Technology | Room amenities | Outdoors | Food & Drink | Outdoor & View | Building Characteristics | Miscellaneous | Safety & security | Languages Spoken"
cameron,Cameron Highlands,1,8,Serene Industrial Family Retreat 2-7pax &Sunrise view,https://www.booking.com/hotel/my/serene-industrial-family-retreat-2-7pax-amp-sunrise-view.html?aid=304142&label=gen173nr-10CAQoggI46wdIM1gEaKEBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAK-iLXVBsACAdICJDYzOGM3ZGU1LTlhZGEtNDdlMC1iNDBkLWU3NTQ5NmU4MzQyYdgCAeACAQ&sid=cf00c68bdb4f08ecdb7a0a1c170efb49&all_sr_blocks=1329522201_405503461_7_0_0&checkin=2026-11-01&checkout=2026-11-02&dist=0&group_adults=2&group_children=0&hapos=8&highlighted_blocks=1329522201_405503461_7_0_0&hpos=8&matching_block_id=1329522201_405503461_7_0_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=1329522201_405503461_7_0_0__29925&srepoch=1789740105&srpvid=6bb6629feb2704fc&type=total&ucfs=1&,"Serene Homestay Cameron Highlands B-306, 39000 Brinchang, Malaysia",8.0 Very Good · 60 reviews,8.0 Rated: Very Good 8 – based on 60 reviews Expand ratings and reviews section Very Good 60 reviews,4,False,False,,6,Booking.com,8.3,7.9,8.1,7.9,8,8.3,10,14,10,0,Indoor swimming pool | Free parking | Non-smoking rooms | Free Wifi | Family rooms | Indoor swimming pool | Free parking | Non-smoking rooms | Free Wifi | Family rooms,"Great for your stay | Parking
Free private parking is available on site (reservation is not needed). | Internet
Wifi is available in all areas and is free of charge. | Kitchen | Bathroom | Media & Technology | Outdoors | Indoor swimming pool
Free! | Outdoor & View | Front Desk Services | Entertainment & Family Services | Miscellaneous | Safety & security | Languages Spoken"
cameron,Cameron Highlands,1,9,"Mossy Forest Family Retreat, Kea Farm Brinchang",https://www.booking.com/hotel/my/boh-family-retreat-kea-farm-brinchang.html?aid=304142&label=gen173nr-10CAQoggI46wdIM1gEaKEBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAK-iLXVBsACAdICJDYzOGM3ZGU1LTlhZGEtNDdlMC1iNDBkLWU3NTQ5NmU4MzQyYdgCAeACAQ&sid=cf00c68bdb4f08ecdb7a0a1c170efb49&all_sr_blocks=839386501_388942282_8_0_0_748423&checkin=2026-11-01&checkout=2026-11-02&dist=0&group_adults=2&group_children=0&hapos=9&highlighted_blocks=839386501_388942282_8_0_0_748423&hpos=9&matching_block_id=839386501_388942282_8_0_0_748423&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=839386501_388942282_8_0_0_748423_28747&srepoch=1789740105&srpvid=6bb6629feb2704fc&type=total&ucfs=1&,"Jalan Gunung Brincang, 39000 Brinchang, Malaysia",8.4 Very Good · 311 reviews,8.4 Rated: Very Good 8.4 – based on 311 reviews Expand ratings and reviews section Very Good 311 reviews,4,False,False,,5,Booking.com,8.4,8.7,8.7,8.7,8.6,8.6,8.8,26,14,0,Indoor swimming pool | Free parking | Non-smoking rooms | Spa and wellness center | Free Wifi | Facilities for disabled guests | Family rooms | Indoor swimming pool | Free parking | Non-smoking rooms | Spa and wellness center | Free Wifi | Facilities for disabled guests | Family rooms,"Great for your stay | Parking
Free private parking is available on site (reservation is not needed). | Internet
Wifi is available in all areas and is free of charge. | Kitchen | Bedroom | Bathroom | Living Area | Media & Technology | Room amenities | Accessibility | Outdoors | Common Areas | Indoor swimming pool
Free! | Spa | Food & Drink | Activities | Outdoor & View | Building Characteristics | Transportation | Front Desk Services | Entertainment & Family Services | Cleaning Services | Shops | Miscellaneous | Safety & security | Languages Spoken"
cameron,Cameron Highlands,1,10,Zenith Suites Cameron,https://www.booking.com/hotel/my/zenith-suites-cameron.html?aid=304142&label=gen173nr-10CAQoggI46wdIM1gEaKEBiAEBmAEzuAEHyAEM2AED6AEB-AEBiAIBqAIBuAK-iLXVBsACAdICJDYzOGM3ZGU1LTlhZGEtNDdlMC1iNDBkLWU3NTQ5NmU4MzQyYdgCAeACAQ&sid=cf00c68bdb4f08ecdb7a0a1c170efb49&all_sr_blocks=1225884602_0_2_0_0&checkin=2026-11-01&checkout=2026-11-02&dist=0&group_adults=2&group_children=0&hapos=10&highlighted_blocks=1225884602_0_2_0_0&hpos=10&matching_block_id=1225884602_0_2_0_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=1225884602_0_2_0_0__25119&srepoch=1789740105&srpvid=6bb6629feb2704fc&type=total&ucfs=1&,"No. 2, Jalan Majlis, 39000 Tanah Rata, Malaysia","8.4 Very Good · 1,715 reviews","8.4 Rated: Very Good 8.4 – based on 1,715 reviews Expand ratings and reviews section Very Good 1,715 reviews",4,False,False,,77,Booking.com,8.7,8.5,8.7,8.7,8.3,9.1,9,18,10,0,Free parking | Non-smoking rooms | Free Wifi | Family rooms | Good Breakfast | Free parking | Non-smoking rooms | Free Wifi | Family rooms | Good Breakfast,"Great for your stay | Parking
Free public parking is available on site (reservation is not needed). | Internet
Wifi is available in all areas and is free of charge. | Kitchen | Bathroom | Living Area | Media & Technology | Room amenities | Outdoors | Food & Drink | Services & Extras | Outdoor & View | Building Characteristics | Front Desk Services | Cleaning Services | Miscellaneous | Safety & security | Languages Spoken"
