year,category_type,category_name,households_thousands,median_income_rm,mean_income_rm,income_skewness_ratio,data_status
1995,Ethnic Group,Bumiputera,2287.4,1143.0,1604.0,1.403,official_survey
1997,Ethnic Group,Bumiputera,2363.7,1407.0,2038.0,1.448,official_survey
1999,Ethnic Group,Bumiputera,2341.858,1423.0,1984.0,1.394,official_survey
2002,Ethnic Group,Bumiputera,2282.363,1695.0,2376.0,1.402,official_survey
2004,Ethnic Group,Bumiputera,3462.598,1862.0,2711.0,1.456,official_survey
2007,Ethnic Group,Bumiputera,3640.488,2228.0,3156.0,1.417,official_survey
2009,Ethnic Group,Bumiputera,3911.9,2534.0,3624.0,1.43,official_survey
2012,Ethnic Group,Bumiputera,4240.897,3282.0,4457.0,1.358,official_survey
2014,Ethnic Group,Bumiputera,4398.3,4214.0,5548.0,1.317,official_survey
2016,Ethnic Group,Bumiputera,4482.4,4846.0,6267.0,1.293,official_survey
2019,Ethnic Group,Bumiputera,4733.9,5420.0,7093.0,1.309,official_survey
2022,Ethnic Group,Bumiputera,5253.1,5793.0,7599.0,1.312,official_survey
2024,Ethnic Group,Bumiputera,5499.806,6559.0,8220.0,1.253,official_survey
1995,Ethnic Group,Cina/ Chinese,1119.2,2010.0,2890.0,1.438,official_survey
1997,Ethnic Group,Cina/ Chinese,1166.7,2583.0,3738.0,1.447,official_survey
1999,Ethnic Group,Cina/ Chinese,1166.926,2486.0,3456.0,1.39,official_survey
2002,Ethnic Group,Cina/ Chinese,1148.903,2943.0,4279.0,1.454,official_survey
2004,Ethnic Group,Cina/ Chinese,1514.1,3089.0,4437.0,1.436,official_survey
2007,Ethnic Group,Cina/ Chinese,1606.311,3452.0,4853.0,1.406,official_survey
2009,Ethnic Group,Cina/ Chinese,1617.5,3643.0,5011.0,1.376,official_survey
2012,Ethnic Group,Cina/ Chinese,1624.164,4643.0,6366.0,1.371,official_survey
2014,Ethnic Group,Cina/ Chinese,1668.2,5708.0,7666.0,1.343,official_survey
2016,Ethnic Group,Cina/ Chinese,1760.0,6582.0,8750.0,1.329,official_survey
2019,Ethnic Group,Cina/ Chinese,1885.5,7391.0,9895.0,1.339,official_survey
2022,Ethnic Group,Cina/ Chinese,2024.6,8167.0,10656.0,1.305,official_survey
2024,Ethnic Group,Cina/ Chinese,2036.932,8886.0,11494.0,1.293,official_survey
1995,Ethnic Group,India/ Indians,295.5,1553.0,2140.0,1.378,official_survey
1997,Ethnic Group,India/ Indians,285.3,2081.0,2896.0,1.392,official_survey
1999,Ethnic Group,India/ Indians,297.823,1969.0,2702.0,1.372,official_survey
2002,Ethnic Group,India/ Indians,294.032,2272.0,3044.0,1.34,official_survey
2004,Ethnic Group,India/ Indians,451.424,2469.0,3456.0,1.4,official_survey
2007,Ethnic Group,India/ Indians,497.722,2760.0,3799.0,1.376,official_survey
2009,Ethnic Group,India/ Indians,466.9,2853.0,3999.0,1.402,official_survey
2012,Ethnic Group,India/ Indians,492.721,3676.0,5233.0,1.424,official_survey
2014,Ethnic Group,India/ Indians,588.0,4627.0,6246.0,1.35,official_survey
2016,Ethnic Group,India/ Indians,616.8,5428.0,7150.0,1.317,official_survey
2019,Ethnic Group,India/ Indians,595.2,5981.0,8216.0,1.374,official_survey
2022,Ethnic Group,India/ Indians,605.5,6627.0,8950.0,1.351,official_survey
2024,Ethnic Group,India/ Indians,652.272,7934.0,9841.0,1.24,official_survey
1995,Ethnic Group,Lain-lain/ Others,76.0,899.0,1284.0,1.428,official_survey
1997,Ethnic Group,Lain-lain/ Others,63.2,1163.0,1680.0,1.445,official_survey
1999,Ethnic Group,Lain-lain/ Others,68.588,997.0,1371.0,1.375,official_survey
2002,Ethnic Group,Lain-lain/ Others,18.17,1542.0,2165.0,1.404,official_survey
2004,Ethnic Group,Lain-lain/ Others,29.841,1567.0,2312.0,1.475,official_survey
2007,Ethnic Group,Lain-lain/ Others,32.432,1884.0,3561.0,1.89,official_survey
2009,Ethnic Group,Lain-lain/ Others,28.3,2162.0,3640.0,1.684,official_survey
2012,Ethnic Group,Lain-lain/ Others,26.675,2762.0,3843.0,1.391,official_survey
2014,Ethnic Group,Lain-lain/ Others,22.3,4372.0,6011.0,1.375,official_survey
2016,Ethnic Group,Lain-lain/ Others,88.4,3780.0,4951.0,1.31,official_survey
2019,Ethnic Group,Lain-lain/ Others,62.2,4181.0,5933.0,1.419,official_survey
2022,Ethnic Group,Lain-lain/ Others,26.0,4339.0,5960.0,1.374,official_survey
2024,Ethnic Group,Lain-lain/ Others,23.699,5040.0,6310.0,1.252,official_survey
1995,National Total,Malaysia,3778.1,1377.0,2020.0,1.467,official_survey
1997,National Total,Malaysia,3879.0,1724.0,2606.0,1.512,official_survey
1999,National Total,Malaysia,3875.196,1704.0,2472.0,1.451,official_survey
2002,National Total,Malaysia,3743.469,2049.0,3011.0,1.469,official_survey
2004,National Total,Malaysia,5457.964,2211.0,3249.0,1.469,official_survey
2007,National Total,Malaysia,5776.953,2552.0,3686.0,1.444,official_survey
2009,National Total,Malaysia,6024.565,2841.0,4025.0,1.417,official_survey
2012,National Total,Malaysia,6384.457,3626.0,5000.0,1.379,official_survey
2014,National Total,Malaysia,6676.8,4585.0,6141.0,1.339,official_survey
2016,National Total,Malaysia,6947.7,5228.0,6958.0,1.331,official_survey
2019,National Total,Malaysia,7276.7,5873.0,7901.0,1.345,official_survey
2022,National Total,Malaysia,7909.2,6338.0,8479.0,1.338,official_survey
2024,National Total,Malaysia,8212.709,7017.0,9155.0,1.305,official_survey
1995,Strata,Bandar/ Urban,2077.1,1829.0,2589.0,1.416,official_survey
1997,Strata,Bandar/ Urban,2117.3,2320.0,3357.0,1.447,official_survey
1999,Strata,Bandar/ Urban,2109.141,2246.0,3103.0,1.382,official_survey
2002,Strata,Bandar/ Urban,2496.946,2582.0,3652.0,1.414,official_survey
2004,Strata,Bandar/ Urban,3605.181,3767.0,3956.0,1.05,official_survey
2007,Strata,Bandar/ Urban,3908.788,3144.0,4356.0,1.385,official_survey
2009,Strata,Bandar/ Urban,4128.8,3435.0,4705.0,1.37,official_survey
2012,Strata,Bandar/ Urban,4603.847,4238.0,5742.0,1.355,official_survey
2014,Strata,Bandar/ Urban,5136.6,5156.0,6833.0,1.325,official_survey
2016,Strata,Bandar/ Urban,5451.3,5860.0,7671.0,1.309,official_survey
2019,Strata,Bandar/ Urban,5806.7,6561.0,8635.0,1.316,official_survey
2022,Strata,Bandar/ Urban,6156.1,7243.0,9428.0,1.302,official_survey
2024,Strata,Bandar/ Urban,6396.351,8139.0,10145.0,1.246,official_survey
1995,Strata,Luar bandar/ Rural,1701.1,991.0,1326.0,1.338,official_survey
1997,Strata,Luar bandar/ Rural,1761.6,1239.0,1704.0,1.375,official_survey
1999,Strata,Luar bandar/ Rural,1766.054,1249.0,1718.0,1.376,official_survey
2002,Strata,Luar bandar/ Rural,1246.522,1289.0,1729.0,1.341,official_survey
2004,Strata,Luar bandar/ Rural,1852.783,1402.0,1875.0,1.337,official_survey
2007,Strata,Luar bandar/ Rural,1868.165,1709.0,2283.0,1.336,official_survey
2009,Strata,Luar bandar/ Rural,1895.765,1836.0,2545.0,1.386,official_survey
2012,Strata,Luar bandar/ Rural,1780.61,2372.0,3080.0,1.298,official_survey
2014,Strata,Luar bandar/ Rural,1540.2,3123.0,3831.0,1.227,official_survey
2016,Strata,Luar bandar/ Rural,1496.3,3471.0,4359.0,1.256,official_survey
2019,Strata,Luar bandar/ Rural,1470.0,3828.0,5004.0,1.307,official_survey
2022,Strata,Luar bandar/ Rural,1753.1,4094.0,5147.0,1.257,official_survey
2024,Strata,Luar bandar/ Rural,1816.358,4588.0,5669.0,1.236,official_survey
