year,income_class,group_name,mean_income_rm,income_share_pct,data_status
1970,B40 (D1-D4),Malaysia,76.0,11.5,official_survey
1974,B40 (D1-D4),Malaysia,107.0,11.4,official_survey
1976,B40 (D1-D4),Malaysia,136.0,10.8,official_survey
1979,B40 (D1-D4),Malaysia,201.0,11.9,official_survey
1984,B40 (D1-D4),Malaysia,347.0,12.7,official_survey
1987,B40 (D1-D4),Malaysia,371.0,13.7,official_survey
1989,B40 (D1-D4),Malaysia,424.0,14.5,official_survey
1992,B40 (D1-D4),Malaysia,545.0,13.9,official_survey
1995,B40 (D1-D4),Malaysia,693.0,13.7,official_survey
1997,B40 (D1-D4),Malaysia,867.0,13.2,official_survey
1999,B40 (D1-D4),Malaysia,865.0,14.0,official_survey
2002,B40 (D1-D4),Malaysia,1019.0,13.5,official_survey
2004,B40 (D1-D4),Malaysia,1101.0,13.2,official_survey
2007,B40 (D1-D4),Malaysia,1345.0,14.6,official_survey
2009,B40 (D1-D4),Malaysia,1440.0,14.3,official_survey
2012,B40 (D1-D4),Malaysia,1847.0,14.8,official_survey
2014,B40 (D1-D4),Malaysia,2537.0,16.8,official_survey
2016,B40 (D1-D4),Malaysia,2848.0,16.4,official_survey
2019,B40 (D1-D4),Malaysia,3152.0,16.0,official_survey
2022,B40 (D1-D4),Malaysia,3401.0,16.1,official_survey
2024,B40 (D1-D4),Malaysia,3814.0,16.67,official_survey
1970,M40 (D5-D8),Malaysia,216.0,32.8,official_survey
1974,M40 (D5-D8),Malaysia,288.0,30.6,official_survey
1976,M40 (D5-D8),Malaysia,396.0,31.3,official_survey
1979,M40 (D5-D8),Malaysia,554.0,32.7,official_survey
1984,M40 (D5-D8),Malaysia,929.0,33.8,official_survey
1987,M40 (D5-D8),Malaysia,943.0,34.8,official_survey
1989,M40 (D5-D8),Malaysia,1037.0,35.5,official_survey
1992,M40 (D5-D8),Malaysia,1388.0,35.5,official_survey
1995,M40 (D5-D8),Malaysia,1777.0,35.0,official_survey
1997,M40 (D5-D8),Malaysia,2250.0,34.4,official_survey
1999,M40 (D5-D8),Malaysia,2204.0,35.5,official_survey
2002,M40 (D5-D8),Malaysia,2660.0,35.2,official_survey
2004,M40 (D5-D8),Malaysia,2875.0,35.0,official_survey
2007,M40 (D5-D8),Malaysia,3282.0,35.62,official_survey
2009,M40 (D5-D8),Malaysia,3631.0,36.1,official_survey
2012,M40 (D5-D8),Malaysia,4573.0,36.6,official_survey
2014,M40 (D5-D8),Malaysia,5662.0,37.1,official_survey
2016,M40 (D5-D8),Malaysia,6502.0,37.4,official_survey
2019,M40 (D5-D8),Malaysia,7348.0,37.2,official_survey
2022,M40 (D5-D8),Malaysia,7971.0,37.6,official_survey
2024,M40 (D5-D8),Malaysia,8744.0,38.21,official_survey
1970,T20 (D9-D10),Malaysia,735.0,55.7,official_survey
1974,T20 (D9-D10),Malaysia,1092.0,58.0,official_survey
1976,T20 (D9-D10),Malaysia,1464.0,57.9,official_survey
1979,T20 (D9-D10),Malaysia,1877.0,55.5,official_survey
1984,T20 (D9-D10),Malaysia,2938.0,53.5,official_survey
1987,T20 (D9-D10),Malaysia,2789.0,51.5,official_survey
1989,T20 (D9-D10),Malaysia,2925.0,50.0,official_survey
1992,T20 (D9-D10),Malaysia,3965.0,50.6,official_survey
1995,T20 (D9-D10),Malaysia,5202.0,51.3,official_survey
1997,T20 (D9-D10),Malaysia,6854.0,52.4,official_survey
1999,T20 (D9-D10),Malaysia,6268.0,50.5,official_survey
2002,T20 (D9-D10),Malaysia,7745.0,51.3,official_survey
2004,T20 (D9-D10),Malaysia,8337.0,51.8,official_survey
2007,T20 (D9-D10),Malaysia,9173.0,49.78,official_survey
2009,T20 (D9-D10),Malaysia,9987.0,49.6,official_survey
2012,T20 (D9-D10),Malaysia,12159.0,48.6,official_survey
2014,T20 (D9-D10),Malaysia,14305.0,46.1,official_survey
2016,T20 (D9-D10),Malaysia,16088.0,46.2,official_survey
2019,T20 (D9-D10),Malaysia,18506.0,46.8,official_survey
2022,T20 (D9-D10),Malaysia,19652.0,46.3,official_survey
2024,T20 (D9-D10),Malaysia,20662.0,45.13,official_survey
