year,index,base_year,source
2015,112.5,2010=100,Department of Statistics Malaysia (DOSM)
2016,114.8,2010=100,Department of Statistics Malaysia (DOSM)
2017,119.0,2010=100,Department of Statistics Malaysia (DOSM)
2018,120.1,2010=100,Department of Statistics Malaysia (DOSM)
2019,120.9,2010=100,Department of Statistics Malaysia (DOSM)
2020,120.0,2010=100,Department of Statistics Malaysia (DOSM)
2021,122.5,2010=100,Department of Statistics Malaysia (DOSM)
2022,126.6,2010=100,Department of Statistics Malaysia (DOSM)
2023,130.4,2010=100,Department of Statistics Malaysia (DOSM)
2024,132.8,2010=100,Department of Statistics Malaysia (DOSM)
2025,134.6,2010=100,Department of Statistics Malaysia (DOSM)
