year,state,state_code,region,visitors_thousands,tourists_thousands,excursionists_thousands,alos_days,total_expenditure_rm_million,accommodation_expenditure_rm_million,food_expenditure_rm_million,shopping_expenditure_rm_million,transport_expenditure_rm_million,accommodation_share,hotel_rooms_kpi,total_population_thousands,working_age_thousands,households_thousands,households_count,resident_median_income_rm,avg_household_size,feeder_hhi,top_origin_share_pct,tourist_nights_k,total_visitor_days_k,tey_rm_per_day,epr_ratio,attributable_gva_rm_million,dvr_retention_rate_pct,tir_visitors_per_resident,tir_tourists_per_resident,ryh_accom_per_household_rm,sdg_diagnosis,sdg_policy_action,sdg_status_color
2018,Johor,MY-01,Southern,13487.24,7782.42,5704.81,2.54,6726.41,681.08,887.83,1731.65,455.81,0.1013,29558.0,3749.4,2605.2,863.968,863968,6157.5,4.34,1881.98,32.09,19767.3468,25472.1568,264.1,0.73,3226.2,48.0,3.6,2.08,788.3,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2019,Johor,MY-01,Southern,14274.36,8070.57,6203.79,2.54,7409.68,740.57,971.46,2010.84,466.14,0.0999,31436.0,3761.2,2608.9,879.3,879300,6427.0,4.28,2076.12,32.1,20499.2478,26703.037800000002,277.5,0.77,3588.5,48.4,3.8,2.15,842.2,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2020,Johor,MY-01,Southern,7242.51,3988.58,3253.93,1.85,2431.62,130.85,430.12,1119.63,188.35,0.0538,33487.0,4009.7,2805.7,917.638,917638,6574.3,4.37,2770.23,47.36,7378.8730000000005,10632.803,228.7,0.82,1314.6,54.1,1.81,0.99,142.6,Single-Origin Fragility,Excessive market concentration (HHI: 2770) with over-reliance on a single origin feeder. Priority: Aggressively diversify marketing to secondary origin states.,#ef4444
2021,Johor,MY-01,Southern,3657.55,1771.38,1886.17,2.06,1251.85,77.69,152.47,495.15,89.34,0.0621,35186.0,4020.0,2812.3,957.647,957647,6724.9,4.2,4578.91,65.53,3649.0428,5535.2128,226.2,1.06,661.0,52.8,0.91,0.44,81.1,Single-Origin Fragility,Excessive market concentration (HHI: 4579) with over-reliance on a single origin feeder. Priority: Aggressively diversify marketing to secondary origin states.,#ef4444
2022,Johor,MY-01,Southern,12376.2,6253.82,6122.39,2.34,4888.35,576.21,708.03,1601.29,408.11,0.1179,34294.0,4028.3,2827.3,999.4,999400,6879.0,4.03,2038.29,31.97,14633.938799999998,20756.3288,235.5,0.98,2354.8,48.2,3.07,1.55,576.6,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2023,Johor,MY-01,Southern,15804.89,8923.0,6881.89,2.18,6699.12,967.49,1017.26,2112.1,532.17,0.1444,35208.0,4107.2,2904.3,1018.505,1018505,7283.6,4.03,3089.71,49.49,19452.140000000003,26334.030000000002,254.4,0.77,3123.7,46.6,3.85,2.17,949.9,Single-Origin Fragility,Excessive market concentration (HHI: 3090) with over-reliance on a single origin feeder. Priority: Aggressively diversify marketing to secondary origin states.,#ef4444
2024,Johor,MY-01,Southern,17138.34,9481.06,7657.28,2.55,7814.42,1030.01,1184.69,2530.15,609.0,0.1318,36043.0,4184.4,2965.6,1037.976,1037976,7712.0,4.03,2314.48,39.07,24176.702999999998,31833.982999999997,245.5,0.81,3709.5,47.5,4.1,2.27,992.3,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2025,Johor,MY-01,Southern,18196.97,9821.9,8375.07,2.68,8722.92,1131.27,1333.18,2746.98,692.67,0.1297,35799.0,4204.1,2998.4,1057.819,1057819,8165.6,3.97,1989.93,34.84,26322.692,34697.762,251.4,0.85,4130.4,47.4,4.33,2.34,1069.4,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2018,Kedah,MY-02,Northern,14480.02,5448.95,9031.06,2.29,4724.46,577.17,710.53,1273.26,294.09,0.1222,19010.0,2163.0,1461.0,490.908,490908,4146.4,4.41,1819.53,31.18,12478.0955,21509.1555,219.6,1.66,2228.2,47.2,6.69,2.52,1175.7,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2019,Kedah,MY-02,Northern,14831.16,6546.38,8284.77,2.31,5208.13,663.3,793.88,1399.44,322.49,0.1274,18954.0,2173.7,1466.2,497.7,497700,4325.0,4.37,1802.43,24.81,15122.1378,23406.9078,222.5,1.27,2441.6,46.9,6.82,3.01,1332.7,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
