state,state_code,region,avg_visitors_k,avg_tourists_k,alos_days,spend_per_night_rm,spend_per_tourist_rm,accommodation_share_pct,accom_exp_rm_mil,total_exp_rm_mil,hotel_rooms,aor_pct,resident_median_income_rm,holiday_pct,vfr_pct,shopping_pct,luxury_room_pct,tourist_t20_pct,tourist_affluence_index,cluster_id,archetype_name,archetype_desc,archetype_color,stay_duration_score,nightly_yield_score,accom_intensity_score,leisure_orientation_score,luxury_supply_score,resident_affluence_score
Johor,MY-01,Southern,17667.655,9651.48,2.615,42.815,111.91,13.075000000000001,1080.6399999999999,8268.67,35921.0,53.25,7938.8,22.740000000000002,60.39,7.41,30.555,12.899999999999999,46.35,3,Prime Leisure & High-Yield Hotspot,"Core leisure destinations (Penang, Melaka, Sabah, Pahang, Johor) with highest holiday share (32.2%) and highest accommodation share (12.6%).",#10b981,58.2,25.3,80.8,22.1,25.7,55.5
Kedah,MY-02,Northern,15129.685,6989.635,2.795,28.65,80.05,10.685,559.875,5240.7,18640.5,48.75,5028.4,19.060000000000002,67.765,4.970000000000001,29.585,8.05,30.4,4,Emerging Extended-Stay Conversion,Longest stay durations (2.65 days) with lower commercial accommodation capture (RM 34/night) due to private VFR lodging. High non-lodging economic contribution with strong commercial lodging conversion opportunity.,#f59e0b,71.1,9.6,56.8,11.6,24.5,19.1
Kelantan,MY-03,East Coast,11288.215,6187.955,2.98,24.865000000000002,74.1,9.384999999999998,458.75,4889.8099999999995,6377.0,43.35,4211.45,16.095,59.97,11.73,26.18,7.7,30.4,4,Emerging Extended-Stay Conversion,Longest stay durations (2.65 days) with lower commercial accommodation capture (RM 34/night) due to private VFR lodging. High non-lodging economic contribution with strong commercial lodging conversion opportunity.,#f59e0b,84.3,5.4,43.8,3.1,20.2,8.9
Melaka,MY-04,Southern,19980.300000000003,6668.53,2.12,65.41499999999999,138.875,11.085,923.0699999999999,8332.805,20407.0,45.75,7075.0,42.935,41.09,3.7199999999999998,40.34,10.5,46.25,3,Prime Leisure & High-Yield Hotspot,"Core leisure destinations (Penang, Melaka, Sabah, Pahang, Johor) with highest holiday share (32.2%) and highest accommodation share (12.6%).",#10b981,22.9,50.5,60.8,79.8,37.9,44.7
Negeri Sembilan,MY-05,Central,18570.535,6267.280000000001,2.27,38.885000000000005,88.39500000000001,8.940000000000001,553.51,6199.360000000001,11191.5,43.2,5687.0,35.95,46.459999999999994,6.484999999999999,38.22,12.2,41.150000000000006,4,Emerging Extended-Stay Conversion,Longest stay durations (2.65 days) with lower commercial accommodation capture (RM 34/night) due to private VFR lodging. High non-lodging economic contribution with strong commercial lodging conversion opportunity.,#f59e0b,33.6,21.0,39.4,59.9,35.3,27.3
Pahang,MY-06,East Coast,21667.525,10285.91,2.19,56.015,122.525,13.569999999999999,1257.46,9278.265,34362.0,75.94999999999999,5032.45,37.155,46.505,4.365,27.86,13.6,44.7,3,Prime Leisure & High-Yield Hotspot,"Core leisure destinations (Penang, Melaka, Sabah, Pahang, Johor) with highest holiday share (32.2%) and highest accommodation share (12.6%).",#10b981,27.9,40.0,85.7,63.3,22.3,19.2
Perak,MY-08,Northern,22709.14,10311.385,2.395,31.42,75.32,10.205,776.785,7621.17,19435.5,46.65,4736.8,19.835,62.72,5.640000000000001,16.69,10.15,39.05,4,Emerging Extended-Stay Conversion,Longest stay durations (2.65 days) with lower commercial accommodation capture (RM 34/night) due to private VFR lodging. High non-lodging economic contribution with strong commercial lodging conversion opportunity.,#f59e0b,42.5,12.7,52.0,13.8,8.4,15.5
Perlis,MY-09,Northern,3490.555,1368.49,2.37,33.56,79.185,9.8,108.45500000000001,1107.005,1521.0,41.35,5011.45,30.32,53.085,3.845,11.129999999999999,9.25,38.4,4,Emerging Extended-Stay Conversion,Longest stay durations (2.65 days) with lower commercial accommodation capture (RM 34/night) due to private VFR lodging. High non-lodging economic contribution with strong commercial lodging conversion opportunity.,#f59e0b,40.7,15.1,48.0,43.8,1.4,18.9
Pulau Pinang,MY-07,Northern,17161.39,5197.780000000001,2.615,75.3,196.79500000000002,12.834999999999999,1020.73,7957.325000000001,27368.5,57.7,7629.05,31.985,56.69,3.625,51.33,12.25,44.599999999999994,3,Prime Leisure & High-Yield Hotspot,"Core leisure destinations (Penang, Melaka, Sabah, Pahang, Johor) with highest holiday share (32.2%) and highest accommodation share (12.6%).",#10b981,58.2,61.4,78.3,48.5,51.7,51.6
Sabah,MY-12,East Malaysia,21476.489999999998,6720.6849999999995,3.08,51.425,157.98000000000002,11.495,1053.9850000000001,9193.79,27231.0,52.85,4972.2,35.42,39.355,6.1,28.994999999999997,8.649999999999999,33.45,3,Prime Leisure & High-Yield Hotspot,"Core leisure destinations (Penang, Melaka, Sabah, Pahang, Johor) with highest holiday share (32.2%) and highest accommodation share (12.6%).",#10b981,91.4,34.9,65.0,58.3,23.7,18.4
