year,state,total_population_thousands,total_population_millions,children_0_14_thousands,dts_15_24_thousands,dts_25_39_thousands,dts_40_54_thousands,dts_55plus_thousands,adult_15plus_thousands,working_age_thousands,elderly_65plus_thousands,children_pct,working_age_pct,elderly_pct,dts_15_24_pct,dts_25_39_pct,dts_40_54_pct,dts_55plus_pct,dependency_ratio,state_code,region,households_thousands,households_count,median_household_income_rm,mean_household_income_rm,avg_household_size,data_status
2025,Johor,4204.1,4.2041,880.5,751.9,1080.9,785.8,704.9,3323.5,2998.4,325.1,20.9,71.3,7.7,22.6,32.5,23.6,21.2,40.2,MY-01,Southern,1057.819,1057819,8165.6,10007.9,3.97,official_dosm_estimates
2025,Kedah,2227.1,2.2271,527.0,374.0,566.2,351.5,408.5,1700.2,1490.8,209.4,23.7,66.9,9.4,22.0,33.3,20.7,24.0,49.4,MY-02,Northern,561.327,561327,5161.8,5918.5,3.97,official_dosm_estimates
2025,Kelantan,1906.9,1.9069,526.7,387.1,421.7,274.4,297.0,1380.2,1239.0,141.2,27.6,65.0,7.4,28.0,30.6,19.9,21.5,53.9,MY-03,East Coast,371.309,371309,4339.9,5465.9,5.14,official_dosm_estimates
2025,Melaka,1052.0,1.052,229.8,178.5,293.2,196.2,154.4,822.3,745.9,76.4,21.8,70.9,7.3,21.7,35.7,23.9,18.8,41.1,MY-04,Southern,281.314,281314,7259.0,9018.7,3.74,official_dosm_estimates
2025,Negeri Sembilan,1243.9,1.2439,286.7,204.2,314.2,227.9,211.2,957.5,857.0,100.5,23.0,68.9,8.1,21.3,32.8,23.8,22.1,45.2,MY-05,Central,329.771,329771,5783.0,7578.1,3.77,official_dosm_estimates
2025,Pahang,1676.8,1.6768,389.2,313.2,396.2,330.9,247.5,1287.8,1168.5,119.3,23.2,69.7,7.1,24.3,30.8,25.7,19.2,43.5,MY-06,East Coast,403.6,403600,5089.9,6215.9,4.15,official_dosm_estimates
2025,Perak,2573.8,2.5738,527.8,442.0,616.1,472.5,515.6,2046.2,1780.2,266.0,20.5,69.2,10.3,21.6,30.1,23.1,25.2,44.6,MY-08,Northern,666.344,666344,4786.6,6380.0,3.86,official_dosm_estimates
2025,Perlis,297.0,0.297,57.3,58.2,74.2,58.1,49.5,240.0,214.6,25.4,19.3,72.3,8.6,24.3,30.9,24.2,20.6,38.5,MY-09,Northern,82.348,82348,5072.9,6169.2,3.61,official_dosm_estimates
2025,Pulau Pinang,1804.3,1.8043,331.7,274.5,491.1,368.4,338.6,1472.6,1320.7,151.9,18.4,73.2,8.4,18.6,33.3,25.0,23.0,36.6,MY-07,Northern,498.668,498668,7872.1,9629.4,3.62,official_dosm_estimates
2025,Sabah,3754.5,3.7545,869.9,798.7,1041.2,590.8,453.8,2884.5,2647.0,237.5,23.2,70.5,6.3,27.7,36.1,20.5,15.7,41.8,MY-12,East Malaysia,651.763,651763,5054.4,6667.9,5.76,official_dosm_estimates
2025,Sarawak,2528.9,2.5289,494.9,421.9,648.0,478.0,486.1,2034.0,1801.6,232.4,19.6,71.2,9.2,20.7,31.9,23.5,23.9,40.4,MY-13,East Malaysia,620.199,620199,5787.5,7205.8,4.08,official_dosm_estimates
2025,Selangor,7408.7,7.4087,1527.3,1107.5,1947.5,1577.8,1248.4,5881.2,5261.7,619.5,20.6,71.0,8.4,18.8,33.1,26.8,21.2,40.8,MY-10,Central,1900.221,1900221,11118.0,13861.7,3.9,official_dosm_estimates
2025,Terengganu,1245.8,1.2458,343.2,226.1,294.3,207.1,174.8,902.3,823.6,78.7,27.5,66.1,6.3,25.1,32.6,23.0,19.4,51.2,MY-11,East Coast,301.731,301731,7036.6,7823.9,4.13,official_dosm_estimates
2025,W.P. Kuala Lumpur,2075.2,2.0752,349.9,285.5,590.7,549.9,299.1,1725.2,1578.5,146.7,16.9,76.1,7.1,16.5,34.2,31.9,17.3,31.5,MY-14,Central,585.627,585627,11097.7,14327.2,3.54,official_dosm_estimates
2025,W.P. Labuan,100.9,0.1009,25.5,17.0,25.6,19.7,13.1,75.4,69.9,5.5,25.3,69.3,5.5,22.5,34.0,26.1,17.4,44.3,MY-15,East Malaysia,23.262,23262,7634.8,8711.7,4.34,official_dosm_estimates
2025,W.P. Putrajaya,120.7,0.1207,40.2,17.8,23.1,31.9,7.6,80.4,77.9,2.5,33.3,64.5,2.1,22.1,28.7,39.7,9.5,54.8,MY-16,Central,33.892,33892,11144.2,14036.4,3.56,official_dosm_estimates
