year,state,total_population_thousands,total_population_millions,children_0_14_thousands,dts_15_24_thousands,dts_25_39_thousands,dts_40_54_thousands,dts_55plus_thousands,adult_15plus_thousands,working_age_thousands,elderly_65plus_thousands,children_pct,working_age_pct,elderly_pct,dts_15_24_pct,dts_25_39_pct,dts_40_54_pct,dts_55plus_pct,dependency_ratio,state_code,region,households_thousands,households_count,median_household_income_rm,mean_household_income_rm,avg_household_size,data_status
2018,Johor,3749.4,3.7494,884.4,688.5,956.5,650.4,569.6,2865.0,2605.2,259.8,23.6,69.5,6.9,24.0,33.4,22.7,19.9,43.9,MY-01,Southern,863.968,863968,6157.5,7633.7,4.34,official_dosm_estimates
2019,Johor,3761.2,3.7612,882.0,686.9,951.1,654.1,587.1,2879.2,2608.9,270.3,23.4,69.4,7.2,23.9,33.0,22.7,20.4,44.2,MY-01,Southern,879.3,879300,6427.0,8013.0,4.28,official_dosm_estimates
2020,Johor,4009.7,4.0097,959.3,734.1,1018.8,706.5,590.9,3050.3,2805.7,244.6,23.9,70.0,6.1,24.1,33.4,23.2,19.4,42.9,MY-01,Southern,917.638,917638,6574.3,8177.6,4.37,official_dosm_estimates
2021,Johor,4020.0,4.02,949.3,727.2,1015.7,716.2,611.8,3070.9,2812.3,258.6,23.6,70.0,6.4,23.7,33.1,23.3,19.9,43.0,MY-01,Southern,957.647,957647,6724.9,8345.6,4.2,official_dosm_estimates
2022,Johor,4028.3,4.0283,930.9,724.5,1016.4,727.7,628.6,3097.2,2827.3,269.9,23.1,70.2,6.7,23.4,32.8,23.5,20.3,42.5,MY-01,Southern,999.4,999400,6879.0,8517.0,4.03,official_dosm_estimates
2023,Johor,4107.2,4.1072,914.2,741.7,1045.3,750.5,655.5,3193.0,2904.3,288.7,22.3,70.7,7.0,23.2,32.7,23.5,20.5,41.4,MY-01,Southern,1018.505,1018505,7283.6,8987.5,4.03,official_dosm_estimates
2024,Johor,4184.4,4.1844,909.5,742.8,1075.0,773.1,683.9,3274.8,2965.6,309.2,21.7,70.9,7.4,22.7,32.8,23.6,20.9,41.1,MY-01,Southern,1037.976,1037976,7712.0,9484.0,4.03,official_dosm_estimates
2025,Johor,4204.1,4.2041,880.5,751.9,1080.9,785.8,704.9,3323.5,2998.4,325.1,20.9,71.3,7.7,22.6,32.5,23.6,21.2,40.2,MY-01,Southern,1057.819,1057819,8165.6,10007.9,3.97,official_dosm_estimates
2018,Kedah,2163.0,2.163,536.0,433.1,482.3,354.1,357.0,1626.5,1461.0,165.5,24.8,67.5,7.7,26.6,29.7,21.8,21.9,48.0,MY-02,Northern,490.908,490908,4146.4,5331.9,4.41,official_dosm_estimates
2019,Kedah,2173.7,2.1737,534.7,427.5,490.7,353.0,368.0,1639.2,1466.2,173.0,24.6,67.5,8.0,26.1,29.9,21.5,22.4,48.3,MY-02,Northern,497.7,497700,4325.0,5522.0,4.37,official_dosm_estimates
2020,Kedah,2131.4,2.1314,538.9,407.1,484.3,340.9,360.3,1592.6,1424.1,168.5,25.3,66.8,7.9,25.6,30.4,21.4,22.6,49.7,MY-02,Northern,509.581,509581,4350.5,5531.3,4.18,official_dosm_estimates
