year,state,state_code,region,hotels_5star,rooms_5star,hotels_4star,rooms_4star,hotels_3star,rooms_3star,hotels_2star,rooms_2star,hotels_1star,rooms_1star,hotels_orchid,rooms_orchid,hotels_unrated,rooms_unrated,total_hotels,total_rooms,luxury_room_share_pct,midscale_room_share_pct,budget_room_share_pct
2018,Johor,MY-01,Southern,5,1498,18,5930,41,6691,36,2474,20,1326,48,1805,291,9768,459,29492,25.19,22.69,52.12
2018,Kedah,MY-02,Northern,10,2337,9,2169,18,3315,18,1845,5,322,8,359,111,6689,179,17036,26.45,19.46,54.09
2018,Kelantan,MY-03,East Coast,2,570,3,507,9,973,8,402,4,121,23,643,42,1215,91,4431,24.31,21.96,53.73
2018,Melaka,MY-04,Southern,6,1833,13,4003,33,3948,22,949,12,546,35,972,51,4500,172,16751,34.84,23.57,41.59
2018,Negeri Sembilan,MY-05,Central,4,1764,7,2139,11,903,12,758,11,655,19,634,78,3141,142,9994,39.05,9.04,51.91
2018,Pahang,MY-06,East Coast,5,2044,13,3179,23,9625,16,1061,7,230,46,1307,188,7011,298,24457,21.36,39.35,39.29
2018,Perak,MY-08,Northern,2,158,9,1912,19,2557,28,1643,15,761,58,1655,186,7526,317,16212,12.77,15.77,71.46
2018,Perlis,MY-09,Northern,0,0,1,145,2,200,4,161,5,147,8,172,12,405,32,1230,11.79,16.26,71.95
2018,Pulau Pinang,MY-07,Northern,12,3614,20,5402,14,2340,13,1773,3,136,30,1371,100,4945,192,19581,46.04,11.95,42.01
2018,Sarawak,MY-13,East Malaysia,4,1252,15,3985,33,4093,14,958,18,1016,89,2320,187,6373,360,19997,26.19,20.47,53.34
2018,Selangor,MY-10,Central,17,6714,15,3917,33,4983,20,1235,6,515,23,906,55,4102,169,22372,47.52,22.27,30.21
2018,Terengganu,MY-11,East Coast,4,752,7,1000,18,2128,15,895,6,168,40,1250,76,2565,166,8758,20.0,24.3,55.7
2018,W.P. Kuala Lumpur,MY-14,Central,29,12160,30,9199,33,8277,19,1638,17,1247,15,559,81,7596,224,40676,52.51,20.35,27.14
2018,W.P. Labuan,MY-15,East Malaysia,1,126,1,94,4,421,5,251,4,92,4,60,21,678,40,1722,12.78,24.45,62.77
2018,W.P. Putrajaya,MY-16,Central,2,421,0,0,1,382,0,0,0,0,0,0,3,499,6,1302,32.33,29.34,38.33
2019,Johor,MY-01,Southern,6,1460,19,6240,42,6752,34,2754,21,1481,47,1978,307,11071,476,31736,24.26,21.28,54.46
2019,Kedah,MY-02,Northern,10,1812,11,2048,18,2775,19,1773,5,237,8,352,105,4854,176,13851,27.87,20.03,52.1
2019,Kelantan,MY-03,East Coast,2,570,3,507,9,912,8,402,4,121,23,643,42,1205,91,4360,24.7,20.92,54.38
2019,Melaka,MY-04,Southern,6,1833,14,4304,36,4527,22,949,12,546,35,972,48,3900,173,17031,36.03,26.58,37.39
2019,Negeri Sembilan,MY-05,Central,4,1764,7,2139,11,903,12,754,11,655,20,742,77,3072,142,10029,38.92,9.0,52.08
2019,Pahang,MY-06,East Coast,6,2839,14,3259,23,9624,17,1100,7,230,46,1313,187,7011,300,25376,24.03,37.93,38.04
2019,Perak,MY-08,Northern,2,187,9,1981,19,2526,28,1672,15,748,58,1637,191,7359,322,16110,13.46,15.68,70.86
2019,Perlis,MY-09,Northern,0,0,1,145,2,193,4,163,6,220,7,129,13,426,33,1276,11.36,15.13,73.51
2019,Pulau Pinang,MY-07,Northern,12,3614,22,6232,20,3051,18,1528,13,455,30,1371,108,5564,223,21815,45.13,13.99,40.88
2019,Sabah,MY-12,East Malaysia,10,4076,15,3072,44,4498,44,2634,31,1345,131,3269,136,4966,411,23860,29.96,18.85,51.19
2019,Sarawak,MY-13,East Malaysia,4,1241,15,4035,34,3995,14,947,18,1011,90,2383,200,6940,375,20552,25.67,19.44,54.89
