year,state,state_code,region,status,households_thousands,median_income_rm,mean_income_rm,households_count,income_skewness_ratio
2018,Johor,MY-01,Southern,e,863.968,6157.5,7633.7,863968,1.24
2019,Johor,MY-01,Southern,official,879.3,6427.0,8013.0,879300,1.247
2020,Johor,MY-01,Southern,e,917.638,6574.3,8177.6,917638,1.244
2021,Johor,MY-01,Southern,e,957.647,6724.9,8345.6,957647,1.241
2022,Johor,MY-01,Southern,official,999.4,6879.0,8517.0,999400,1.238
2023,Johor,MY-01,Southern,e,1018.505,7283.6,8987.5,1018505,1.234
2024,Johor,MY-01,Southern,official,1037.976,7712.0,9484.0,1037976,1.23
2025,Johor,MY-01,Southern,e,1057.819,8165.6,10007.9,1057819,1.226
2018,Kedah,MY-02,Northern,e,490.908,4146.4,5331.9,490908,1.286
2019,Kedah,MY-02,Northern,official,497.7,4325.0,5522.0,497700,1.277
2020,Kedah,MY-02,Northern,e,509.581,4350.5,5531.3,509581,1.271
2021,Kedah,MY-02,Northern,e,521.745,4376.2,5540.7,521745,1.266
2022,Kedah,MY-02,Northern,official,534.2,4402.0,5550.0,534200,1.261
2023,Kedah,MY-02,Northern,e,543.093,4642.0,5670.2,543093,1.221
2024,Kedah,MY-02,Northern,official,552.135,4895.0,5793.0,552135,1.183
2025,Kedah,MY-02,Northern,e,561.327,5161.8,5918.5,561327,1.147
2018,Kelantan,MY-03,East Coast,e,342.34,3393.8,4643.2,342340,1.368
2019,Kelantan,MY-03,East Coast,official,345.4,3563.0,4874.0,345400,1.368
2020,Kelantan,MY-03,East Coast,e,349.485,3579.9,4877.7,349485,1.363
2021,Kelantan,MY-03,East Coast,e,353.618,3596.9,4881.3,353618,1.357
2022,Kelantan,MY-03,East Coast,official,357.8,3614.0,4885.0,357800,1.352
2023,Kelantan,MY-03,East Coast,e,362.247,3841.3,5071.4,362247,1.32
2024,Kelantan,MY-03,East Coast,official,366.75,4083.0,5265.0,366750,1.289
2025,Kelantan,MY-03,East Coast,e,371.309,4339.9,5465.9,371309,1.259
2018,Melaka,MY-04,Southern,e,223.03,5894.5,7431.5,223030,1.261
2019,Melaka,MY-04,Southern,official,227.9,6054.0,7741.0,227900,1.279
2020,Melaka,MY-04,Southern,e,238.743,6105.6,7844.9,238743,1.285
2021,Melaka,MY-04,Southern,e,250.101,6157.6,7950.3,250101,1.291
2022,Melaka,MY-04,Southern,official,262.0,6210.0,8057.0,262000,1.297
2023,Melaka,MY-04,Southern,e,268.286,6541.6,8365.6,268286,1.279
2024,Melaka,MY-04,Southern,official,274.723,6891.0,8686.0,274723,1.26
2025,Melaka,MY-04,Southern,e,281.314,7259.0,9018.7,281314,1.242
2018,Negeri Sembilan,MY-05,Central,e,265.08,4858.8,6421.7,265080,1.322
2019,Negeri Sembilan,MY-05,Central,official,270.8,5005.0,6707.0,270800,1.34
2020,Negeri Sembilan,MY-05,Central,e,283.069,5077.6,6733.9,283069,1.326
2021,Negeri Sembilan,MY-05,Central,e,295.894,5151.3,6760.9,295894,1.312
2022,Negeri Sembilan,MY-05,Central,official,309.3,5226.0,6788.0,309300,1.299
2023,Negeri Sembilan,MY-05,Central,e,315.978,5405.4,7041.8,315978,1.303
2024,Negeri Sembilan,MY-05,Central,official,322.801,5591.0,7305.0,322801,1.307
2025,Negeri Sembilan,MY-05,Central,e,329.771,5783.0,7578.1,329771,1.31
2018,Pahang,MY-06,East Coast,e,342.659,4280.7,5439.7,342659,1.271
2019,Pahang,MY-06,East Coast,official,348.8,4440.0,5667.0,348800,1.276
2020,Pahang,MY-06,East Coast,e,359.721,4542.0,5703.4,359721,1.256
2021,Pahang,MY-06,East Coast,e,370.984,4646.3,5740.1,370984,1.235
2022,Pahang,MY-06,East Coast,official,382.6,4753.0,5777.0,382600,1.215
2023,Pahang,MY-06,East Coast,e,389.476,4862.7,5919.7,389476,1.217
2024,Pahang,MY-06,East Coast,official,396.475,4975.0,6066.0,396475,1.219
2025,Pahang,MY-06,East Coast,e,403.6,5089.9,6215.9,403600,1.221
2018,Perak,MY-08,Northern,e,632.526,4182.1,5444.6,632526,1.302
2019,Perak,MY-08,Northern,official,639.4,4273.0,5645.0,639400,1.321
2020,Perak,MY-08,Northern,e,642.881,4345.4,5689.3,642881,1.309
2021,Perak,MY-08,Northern,e,646.381,4419.1,5734.0,646381,1.298
2022,Perak,MY-08,Northern,official,649.9,4494.0,5779.0,649900,1.286
2023,Perak,MY-08,Northern,e,655.336,4589.5,5972.8,655336,1.301
2024,Perak,MY-08,Northern,official,660.817,4687.0,6173.0,660817,1.317
2025,Perak,MY-08,Northern,e,666.344,4786.6,6380.0,666344,1.333
2018,Perlis,MY-09,Northern,e,57.955,4460.1,5311.8,57955,1.191
2019,Perlis,MY-09,Northern,official,58.8,4594.0,5476.0,58800,1.192
2020,Perlis,MY-09,Northern,e,63.994,4633.3,5538.0,63994,1.195
2021,Perlis,MY-09,Northern,e,69.647,4673.0,5600.6,69647,1.199
2022,Perlis,MY-09,Northern,official,75.8,4713.0,5664.0,75800,1.202
2023,Perlis,MY-09,Northern,e,77.923,4830.0,5827.6,77923,1.207
2024,Perlis,MY-09,Northern,official,80.105,4950.0,5996.0,80105,1.211
2025,Perlis,MY-09,Northern,e,82.348,5072.9,6169.2,82348,1.216
2018,Pulau Pinang,MY-07,Northern,e,442.652,5904.5,7424.2,442652,1.257
2019,Pulau Pinang,MY-07,Northern,official,448.7,6169.0,7774.0,448700,1.26
2020,Pulau Pinang,MY-07,Northern,e,458.357,6278.1,7935.0,458357,1.264
2021,Pulau Pinang,MY-07,Northern,e,468.222,6389.0,8099.3,468222,1.268
2022,Pulau Pinang,MY-07,Northern,official,478.3,6502.0,8267.0,478300,1.271
2023,Pulau Pinang,MY-07,Northern,e,484.995,6929.9,8698.3,484995,1.255
2024,Pulau Pinang,MY-07,Northern,official,491.784,7386.0,9152.0,491784,1.239
2025,Pulau Pinang,MY-07,Northern,e,498.668,7872.1,9629.4,498668,1.223
2018,Sabah,MY-12,East Malaysia,e,506.411,4193.1,5611.6,506411,1.338
2019,Sabah,MY-12,East Malaysia,official,513.2,4235.0,5745.0,513200,1.357
2020,Sabah,MY-12,East Malaysia,e,541.03,4346.1,5883.6,541030,1.354
2021,Sabah,MY-12,East Malaysia,e,570.37,4460.0,6025.6,570370,1.351
2022,Sabah,MY-12,East Malaysia,official,601.3,4577.0,6171.0,601300,1.348
2023,Sabah,MY-12,East Malaysia,e,617.671,4730.9,6332.4,617671,1.339
2024,Sabah,MY-12,East Malaysia,official,634.488,4890.0,6498.0,634488,1.329
2025,Sabah,MY-12,East Malaysia,e,651.763,5054.4,6667.9,651763,1.319
2018,Sarawak,MY-13,East Malaysia,e,618.047,4413.2,5761.9,618047,1.306
2019,Sarawak,MY-13,East Malaysia,official,625.4,4544.0,5959.0,625400,1.311
2020,Sarawak,MY-13,East Malaysia,e,615.718,4684.3,6120.6,615718,1.307
2021,Sarawak,MY-13,East Malaysia,e,606.185,4828.9,6286.5,606185,1.302
2022,Sarawak,MY-13,East Malaysia,official,596.8,4978.0,6457.0,596800,1.297
2023,Sarawak,MY-13,East Malaysia,e,604.5,5234.4,6697.5,604500,1.28
2024,Sarawak,MY-13,East Malaysia,official,612.299,5504.0,6947.0,612299,1.262
2025,Sarawak,MY-13,East Malaysia,e,620.199,5787.5,7205.8,620199,1.245
2018,Selangor,MY-10,Central,e,1598.53,7867.6,10351.8,1598530,1.316
2019,Selangor,MY-10,Central,official,1623.1,8210.0,10827.0,1623100,1.319
2020,Selangor,MY-10,Central,e,1672.168,8762.9,11276.7,1672168,1.287
2021,Selangor,MY-10,Central,e,1722.72,9353.1,11745.1,1722720,1.256
2022,Selangor,MY-10,Central,official,1774.8,9983.0,12233.0,1774800,1.225
2023,Selangor,MY-10,Central,e,1815.659,10347.8,12753.4,1815659,1.232
2024,Selangor,MY-10,Central,official,1857.459,10726.0,13296.0,1857459,1.24
2025,Selangor,MY-10,Central,e,1900.221,11118.0,13861.7,1900221,1.247
2018,Terengganu,MY-11,East Coast,e,251.174,5245.4,6449.4,251174,1.23
2019,Terengganu,MY-11,East Coast,official,257.6,5545.0,6815.0,257600,1.229
2020,Terengganu,MY-11,East Coast,e,265.301,5653.8,6956.4,265301,1.23
2021,Terengganu,MY-11,East Coast,e,273.232,5764.8,7100.7,273232,1.232
2022,Terengganu,MY-11,East Coast,official,281.4,5878.0,7248.0,281400,1.233
2023,Terengganu,MY-11,East Coast,e,288.02,6241.3,7435.1,288020,1.191
2024,Terengganu,MY-11,East Coast,official,294.796,6627.0,7627.0,294796,1.151
2025,Terengganu,MY-11,East Coast,e,301.731,7036.6,7823.9,301731,1.112
2018,W.P. Kuala Lumpur,MY-14,Central,e,476.612,10032.1,12713.3,476612,1.267
2019,W.P. Kuala Lumpur,MY-14,Central,official,484.3,10549.0,13257.0,484300,1.257
2020,W.P. Kuala Lumpur,MY-14,Central,e,506.195,10442.9,13279.6,506195,1.272
2021,W.P. Kuala Lumpur,MY-14,Central,e,529.08,10337.9,13302.3,529080,1.287
2022,W.P. Kuala Lumpur,MY-14,Central,official,553.0,10234.0,13325.0,553000,1.302
2023,W.P. Kuala Lumpur,MY-14,Central,e,563.669,10514.2,13651.0,563669,1.298
2024,W.P. Kuala Lumpur,MY-14,Central,official,574.543,10802.0,13985.0,574543,1.295
2025,W.P. Kuala Lumpur,MY-14,Central,e,585.627,11097.7,14327.2,585627,1.291
2018,W.P. Labuan,MY-15,East Malaysia,e,22.691,6448.7,8270.4,22691,1.282
2019,W.P. Labuan,MY-15,East Malaysia,official,23.7,6726.0,8319.0,23700,1.237
2020,W.P. Labuan,MY-15,East Malaysia,e,22.978,6784.8,8295.9,22978,1.223
2021,W.P. Labuan,MY-15,East Malaysia,e,22.278,6844.1,8272.9,22278,1.209
2022,W.P. Labuan,MY-15,East Malaysia,official,21.6,6904.0,8250.0,21600,1.195
