year,state,state_code,region,households_thousands,households_count,median_income_rm,mean_income_rm,income_skewness_ratio,data_status,source
1995,Johor,MY-01,Southern,457.9,457900.0,1610.0,2137.7,1.328,official_survey,DOSM HIES Table 6
1997,Johor,MY-01,Southern,492.3,492300.0,2056.0,2772.0,1.348,official_survey,DOSM HIES Table 6
1999,Johor,MY-01,Southern,477.6,477600.0,2012.0,2645.6,1.315,official_survey,DOSM HIES Table 6
2002,Johor,MY-01,Southern,498.2,498200.0,2212.0,2963.0,1.34,official_survey,DOSM HIES Table 6
2004,Johor,MY-01,Southern,650.253,650253.0,2325.0,3076.0,1.323,official_survey,DOSM HIES Table 6
2007,Johor,MY-01,Southern,708.417,708417.0,2726.0,3456.6,1.268,official_survey,DOSM HIES Table 6
2009,Johor,MY-01,Southern,734.167,734167.0,2958.0,3835.0,1.296,official_survey,DOSM HIES Table 6
2012,Johor,MY-01,Southern,786.169,786169.0,3650.0,4658.0,1.276,official_survey,DOSM HIES Table 6
2014,Johor,MY-01,Southern,806.1,806100.0,5197.0,6207.0,1.194,official_survey,DOSM HIES Table 6
2016,Johor,MY-01,Southern,834.1,834100.0,5652.0,6928.0,1.226,official_survey,DOSM HIES Table 6
2019,Johor,MY-01,Southern,879.3,879300.0,6427.0,8013.0,1.247,official_survey,DOSM HIES Table 6
2022,Johor,MY-01,Southern,999.4,999400.0,6879.0,8517.0,1.238,official_survey,DOSM HIES Table 6
2024,Johor,MY-01,Southern,1037.976,1037976.0,7712.0,9484.0,1.23,official_survey,DOSM HIES Table 6
1995,Kedah,MY-02,Northern,288.3,288300.0,990.0,1295.4,1.309,official_survey,DOSM HIES Table 6
1997,Kedah,MY-02,Northern,294.7,294700.0,1171.0,1590.0,1.358,official_survey,DOSM HIES Table 6
1999,Kedah,MY-02,Northern,330.6,330600.0,1225.0,1612.0,1.316,official_survey,DOSM HIES Table 6
2002,Kedah,MY-02,Northern,301.5,301500.0,1451.0,1966.0,1.355,official_survey,DOSM HIES Table 6
2004,Kedah,MY-02,Northern,391.215,391215.0,1607.0,2126.0,1.323,official_survey,DOSM HIES Table 6
2007,Kedah,MY-02,Northern,410.264,410264.0,1756.0,2407.8,1.371,official_survey,DOSM HIES Table 6
2009,Kedah,MY-02,Northern,424.888,424888.0,1966.0,2667.0,1.357,official_survey,DOSM HIES Table 6
2012,Kedah,MY-02,Northern,447.885,447885.0,2633.0,3425.0,1.301,official_survey,DOSM HIES Table 6
2014,Kedah,MY-02,Northern,465.1,465100.0,3451.0,4478.0,1.298,official_survey,DOSM HIES Table 6
2016,Kedah,MY-02,Northern,477.6,477600.0,3811.0,4971.0,1.304,official_survey,DOSM HIES Table 6
2019,Kedah,MY-02,Northern,497.7,497700.0,4325.0,5522.0,1.277,official_survey,DOSM HIES Table 6
2022,Kedah,MY-02,Northern,534.2,534200.0,4402.0,5550.0,1.261,official_survey,DOSM HIES Table 6
2024,Kedah,MY-02,Northern,552.135,552135.0,4895.0,5793.0,1.183,official_survey,DOSM HIES Table 6
