year,state,state_code,region,vfr_share_visitor,vfr_share_tourist,holiday_share_visitor,holiday_share_tourist,shopping_share_visitor,shopping_share_tourist,entertainment_share_visitor,entertainment_share_tourist,business_share_visitor,business_share_tourist,medical_share_visitor,medical_share_tourist,religious_share_visitor,religious_share_tourist,incentive_others_share_visitor,incentive_others_share_tourist
2018,Johor,MY-01,Southern,64.58,85.86,6.96,7.11,15.93,2.84,2.75,0.23,1.36,1.17,4.2,0.54,1.64,0.57,2.58,1.68
2018,Kedah,MY-02,Northern,61.28,73.05,11.71,21.99,19.65,0.55,1.56,0.03,2.09,2.75,2.9,0.36,0.0,0.0,0.81,1.27
2018,Kelantan,MY-03,East Coast,65.39,85.52,3.48,4.82,17.48,1.31,1.01,1.06,0.79,0.81,7.01,0.55,0.83,0.0,4.01,5.93
2018,Melaka,MY-04,Southern,20.05,59.87,12.54,34.05,38.99,0.03,17.07,0.08,1.11,2.79,8.22,0.15,1.26,2.58,0.76,0.45
2018,Negeri Sembilan,MY-05,Central,50.72,76.47,13.15,21.69,23.99,0.34,1.23,0.0,0.76,0.54,8.26,0.11,0.83,0.0,1.06,0.85
2018,Pahang,MY-06,East Coast,42.89,62.19,21.65,33.44,26.87,1.85,1.65,0.43,1.9,0.94,3.16,0.34,0.25,0.0,1.63,0.81
2018,Perak,MY-08,Northern,56.4,81.68,17.42,13.81,16.15,0.0,3.05,0.2,1.26,1.22,2.77,0.27,1.86,2.22,1.09,0.6
2018,Perlis,MY-09,Northern,56.81,79.99,10.59,17.63,28.86,0.0,0.99,0.0,1.33,0.0,0.49,0.35,0.12,0.0,0.81,2.03
2018,Pulau Pinang,MY-07,Northern,27.69,62.7,8.46,32.13,54.85,0.96,5.42,0.92,0.93,2.15,1.49,0.44,0.65,0.7,0.51,0.0
2018,Sarawak,MY-13,East Malaysia,28.01,68.58,6.64,13.89,45.22,4.05,4.79,5.31,1.38,3.19,8.56,2.88,2.69,0.92,2.71,1.18
2018,Selangor,MY-10,Central,40.82,84.66,6.31,11.06,41.28,0.65,5.66,1.68,0.61,0.9,1.76,0.51,3.07,0.26,0.49,0.28
2018,Terengganu,MY-11,East Coast,50.95,81.83,12.73,13.53,24.04,0.03,3.15,0.28,1.49,2.54,3.87,0.3,1.36,0.0,2.41,1.49
2018,W.P. Kuala Lumpur,MY-14,Central,13.6,58.02,3.64,20.6,68.2,5.51,7.6,2.79,2.32,10.4,4.3,2.45,0.16,0.09,0.18,0.14
2018,W.P. Labuan,MY-15,East Malaysia,22.58,69.59,30.56,14.71,33.89,0.0,4.58,0.0,2.04,6.43,0.61,0.0,0.0,0.0,5.74,9.26
2018,W.P. Putrajaya,MY-16,Central,29.45,68.6,0.18,0.47,43.48,3.03,15.5,8.43,8.18,19.47,3.21,0.0,0.0,0.0,0.0,0.0
2019,Johor,MY-01,Southern,70.41,89.56,5.26,5.38,13.94,0.27,2.16,0.49,0.67,0.48,5.67,2.15,1.41,1.33,0.48,0.34
2019,Kedah,MY-02,Northern,63.33,74.32,12.45,19.71,14.2,1.0,4.2,1.86,0.99,0.78,2.4,0.94,0.34,0.59,2.09,0.8
2019,Kelantan,MY-03,East Coast,74.47,92.25,4.21,4.53,12.47,1.5,0.71,0.19,0.24,0.3,4.27,0.8,0.13,0.0,3.5,0.43
2019,Melaka,MY-04,Southern,40.1,52.7,13.01,42.83,38.69,0.14,2.65,1.06,0.87,1.6,3.39,0.0,0.52,1.07,0.76,0.6
2019,Negeri Sembilan,MY-05,Central,44.6,80.68,7.44,15.58,37.36,0.55,1.81,2.48,0.28,0.49,5.25,0.21,0.25,0.0,3.01,0.01
2019,Pahang,MY-06,East Coast,44.31,68.56,18.92,26.64,28.44,1.04,2.24,1.09,1.41,1.86,1.59,0.4,0.4,0.0,2.69,0.41
2019,Perak,MY-08,Northern,48.34,84.65,7.37,12.2,27.28,0.17,2.56,0.31,1.08,0.84,6.88,1.13,1.21,0.12,5.28,0.58
2019,Perlis,MY-09,Northern,66.45,83.4,4.3,12.69,18.63,1.69,2.64,0.1,2.47,0.91,2.42,0.49,0.13,0.0,2.96,0.72
2019,Pulau Pinang,MY-07,Northern,27.87,63.98,9.63,28.23,52.16,0.47,2.95,1.0,0.9,1.67,1.58,2.25,0.91,1.5,4.0,0.9
2019,Sabah,MY-12,East Malaysia,35.42,67.75,12.55,21.49,30.54,1.88,10.27,3.04,3.88,3.96,3.7,1.39,1.59,0.01,2.05,0.48
2019,Sarawak,MY-13,East Malaysia,29.54,67.96,8.54,17.84,46.2,4.97,3.92,1.73,1.65,3.09,5.86,1.71,0.9,0.61,3.39,2.09
