year,state,state_code,region,rank,destination_name
2018,Johor,MY-01,Southern,1,Bandaraya Johor Bahru
2018,Johor,MY-01,Southern,2,Mersing
2018,Johor,MY-01,Southern,3,Kluang
2018,Johor,MY-01,Southern,4,Batu Pahat
2018,Johor,MY-01,Southern,5,Muar
2018,Perlis,MY-09,Northern,1,Padang Besar
2018,Perlis,MY-09,Northern,2,Kuala Perlis
2018,Perlis,MY-09,Northern,3,Pantai Sg. Berembang
2018,Perlis,MY-09,Northern,4,Bandar Kangar
2018,Perlis,MY-09,Northern,5,Gua Kelam
2018,Kedah,MY-02,Northern,1,Bandar Alor Setar
2018,Kedah,MY-02,Northern,2,Pulau Langkawi
2018,Kedah,MY-02,Northern,3,Pantai  Merdeka
2018,Kedah,MY-02,Northern,4,Tanjung Dawai
2018,Kedah,MY-02,Northern,5,Pantai Murni
2018,Selangor,MY-10,Central,1,Petaling Jaya
2018,Selangor,MY-10,Central,2,Sepang
2018,Selangor,MY-10,Central,3,Klang
2018,Selangor,MY-10,Central,4,Gombak
2018,Selangor,MY-10,Central,5,Hulu Langat
2018,Kelantan,MY-03,East Coast,1,Bandar Kota Bharu
2018,Kelantan,MY-03,East Coast,2,Pasar Siti Khatijah
2018,Kelantan,MY-03,East Coast,3,Pantai Cahaya Bulan
2018,Kelantan,MY-03,East Coast,4,Wakaf Che Yeh
2018,Kelantan,MY-03,East Coast,5,Rantau Panjang
2018,Terengganu,MY-11,East Coast,1,Kuala Terengganu
2018,Terengganu,MY-11,East Coast,2,Dungun
2018,Terengganu,MY-11,East Coast,3,Pantai Batu Buruk
2018,Terengganu,MY-11,East Coast,4,Besut
2018,Terengganu,MY-11,East Coast,5,Pasar Payang
2018,Melaka,MY-04,Southern,1,Banda Hilir
2018,Melaka,MY-04,Southern,2,Klebang
2018,Melaka,MY-04,Southern,3,Simpang Ampat
2018,Melaka,MY-04,Southern,4,Zoo Melaka
2018,Melaka,MY-04,Southern,5,Pantai Pengkalan Balak
2018,Sabah,MY-12,East Malaysia,1,Tawau
2018,Sabah,MY-12,East Malaysia,2,Bandar Kota Kinabalu
2018,Sabah,MY-12,East Malaysia,3,Beaufort
2018,Sabah,MY-12,East Malaysia,4,Kunak
2018,Sabah,MY-12,East Malaysia,5,Lahad Datu
2018,Negeri Sembilan,MY-05,Central,1,Bandar Seremban
2018,Negeri Sembilan,MY-05,Central,2,Pantai Port Dickson
2018,Negeri Sembilan,MY-05,Central,3,Nilai
