year,state,state_code,region,rank,district_name
2018,Johor,MY-01,Southern,1,Johor Bahru
2018,Johor,MY-01,Southern,2,Batu Pahat
2018,Johor,MY-01,Southern,3,Muar
2018,Johor,MY-01,Southern,4,Kluang
2018,Johor,MY-01,Southern,5,Mersing
2018,Pulau Pinang,MY-07,Northern,1,Timur Laut
2018,Pulau Pinang,MY-07,Northern,2,Seberang Perai Tengah
2018,Pulau Pinang,MY-07,Northern,3,Barat Daya
2018,Pulau Pinang,MY-07,Northern,4,Seberang Perai Utara
2018,Pulau Pinang,MY-07,Northern,5,Seberang Perai Selatan
2018,Kedah,MY-02,Northern,1,Kota Setar
2018,Kedah,MY-02,Northern,2,Kuala Muda
2018,Kedah,MY-02,Northern,3,Langkawi
2018,Kedah,MY-02,Northern,4,Kubang Pasu
2018,Kedah,MY-02,Northern,5,Kulim
2018,Perak,MY-08,Northern,1,Kinta
2018,Perak,MY-08,Northern,2,Manjung
2018,Perak,MY-08,Northern,3,"Larut, Matang & Selama"
2018,Perak,MY-08,Northern,4,Hilir Perak
2018,Perak,MY-08,Northern,5,Kuala Kangsar
2018,Kelantan,MY-03,East Coast,1,Kota Bharu
2018,Kelantan,MY-03,East Coast,2,Pasir Mas
2018,Kelantan,MY-03,East Coast,3,Tanah Merah
2018,Kelantan,MY-03,East Coast,4,Pasir Puteh
2018,Kelantan,MY-03,East Coast,5,Bachok
2018,Selangor,MY-10,Central,1,Petaling
2018,Selangor,MY-10,Central,2,Gombak
2018,Selangor,MY-10,Central,3,Hulu Langat
2018,Selangor,MY-10,Central,4,Klang
2018,Selangor,MY-10,Central,5,Sepang
2018,Melaka,MY-04,Southern,1,Melaka Tengah
2018,Melaka,MY-04,Southern,2,Hang Tuah Jaya
2018,Melaka,MY-04,Southern,3,Alor Gajah
2018,Melaka,MY-04,Southern,4,Jasin
2018,Terengganu,MY-11,East Coast,1,Kuala Terengganu
2018,Terengganu,MY-11,East Coast,2,Dungun
2018,Terengganu,MY-11,East Coast,3,Kemaman
2018,Terengganu,MY-11,East Coast,4,Besut
2018,Terengganu,MY-11,East Coast,5,Kuala Nerus
2018,Negeri Sembilan,MY-05,Central,1,Seremban
2018,Negeri Sembilan,MY-05,Central,2,Port Dickson
2018,Negeri Sembilan,MY-05,Central,3,Tampin
2018,Negeri Sembilan,MY-05,Central,4,Kuala Pilah
2018,Negeri Sembilan,MY-05,Central,5,Jempol
2018,Sabah,MY-12,East Malaysia,1,Kota Kinabalu
2018,Sabah,MY-12,East Malaysia,2,Tawau
2018,Sabah,MY-12,East Malaysia,3,Beaufort
2018,Sabah,MY-12,East Malaysia,4,Sandakan
2018,Sabah,MY-12,East Malaysia,5,Ranau
2018,Pahang,MY-06,East Coast,1,Kuantan
2018,Pahang,MY-06,East Coast,2,Temerloh
2018,Pahang,MY-06,East Coast,3,Bentong
2018,Pahang,MY-06,East Coast,4,Cameron Highlands
2018,Pahang,MY-06,East Coast,5,Maran
2018,Sarawak,MY-13,East Malaysia,1,Kuching
2018,Sarawak,MY-13,East Malaysia,2,Sibu
2018,Sarawak,MY-13,East Malaysia,3,Miri
2018,Sarawak,MY-13,East Malaysia,4,Bintulu
2018,Sarawak,MY-13,East Malaysia,5,Serian
2019,Johor,MY-01,Southern,1,Johor Bahru
2019,Johor,MY-01,Southern,2,Batu Pahat
2019,Johor,MY-01,Southern,3,Muar
2019,Johor,MY-01,Southern,4,Kluang
2019,Johor,MY-01,Southern,5,Kota Tinggi
