state,year,population_thousands,median_household_income_rm,mean_household_income_rm
Johor,2024,4100.0,6071,7700
Kedah,2024,2200.0,4402,5500
Kelantan,2024,1850.0,3614,4800
Melaka,2024,1030.0,6210,8000
Negeri Sembilan,2024,1210.0,5226,6700
Pahang,2024,1630.0,4753,5900
Pulau Pinang,2024,1770.0,6502,8200
Perak,2024,2540.0,4594,5700
Perlis,2024,290.0,4713,5600
Selangor,2024,7200.0,9983,12200
Terengganu,2024,1210.0,5878,7200
Sabah,2024,3700.0,4577,5700
Sarawak,2024,2500.0,4978,6400
W.P. Kuala Lumpur,2024,2000.0,10234,13300
W.P. Labuan,2024,100.0,6904,8500
W.P. Putrajaya,2024,120.0,13473,16800
