REGION,STATE,STAR_TOTAL_HOTEL,STAR_TOTAL_ROOM,STAR_APARTMENT_TOTAL_HOTEL,STAR_APARTMENT_TOTAL_ROOM,ORCHID_TOTAL_HOTEL,ORCHID_TOTAL_ROOM,GRAND_TOTAL_HOTEL,GRAND_TOTAL_ROOM
PENINSULAR MALAYSIA,PERLIS,37,759,0,0,13,288,24,1047
PENINSULAR MALAYSIA,KEDAH,117,4275,0,0,17,944,73,9655
PENINSULAR MALAYSIA,PP.PINANG,155,12008,0,0,34,527,98,13135
PENINSULAR MALAYSIA,PERAK,209,6913,2,320,61,1450,130,8683
PENINSULAR MALAYSIA,SELANGOR,331,15177,1,189,60,1373,194,16739
PENINSULAR MALAYSIA,N.SEMBILAN,127,5822,4,711,32,698,82,7231
PENINSULAR MALAYSIA,MELAKA,268,12783,0,0,56,1468,153,14251
PENINSULAR MALAYSIA,JOHOR,295,13639,1,284,60,1685,159,15608
PENINSULAR MALAYSIA,PAHANG,317,20451,0,0,76,1859,166,22310
PENINSULAR MALAYSIA,KELANTAN,154,2881,0,0,51,973,88,3854
PENINSULAR MALAYSIA,TERENGGANU,140,5252,0,0,52,1018,109,6270
PENINSULAR MALAYSIA,TOTAL,2150,104996,8,1504,512,12283,1276,118783
WILAYAH PERSEKUTUAN,W.P KUALA LUMPUR,419,15832,1,196,121,2694,292,18722
WILAYAH PERSEKUTUAN,W.P LABUAN,40,1025,0,0,8,174,25,1199
WILAYAH PERSEKUTUAN,W.P PUTRAJAYA,,,,,,,,
WILAYAH PERSEKUTUAN,TOTAL,695,26023,2,411,235,5271,511,31705
SABAH SARAWAK,SABAH,155,29874,11,2566,38,1816,165,34256
SABAH SARAWAK,SARAWAK,5,934,0,0,0,0,4,934
SABAH SARAWAK,TOTAL,362,31833,11,2566,46,1990,194,36389
GRAND TOTAL,GRAND TOTAL,3207,162652,21,4481,793,19544,1981,186877
