state_locality,hotels_2015,rooms_2015,hotels_2016,rooms_2016,hotels_comparison_pct,rooms_comparison_pct
KUALA LUMPUR,377,50796,472,58963,25.2,16.1
PUTRAJAYA,5,1418,7,1989,40.0,40.3
SELANGOR,391,27138,405,28867,3.6,6.4
PENANG,260,22091,266,22614,2.3,2.4
PERAK,374,17115,378,17491,1.1,2.2
KEDAH,314,18830,315,18920,0.3,0.5
PERLIS,46,2028,48,2059,4.3,1.5
NEGERI SEMBILAN,206,13441,205,13396,-0.5,-0.3
MELAKA,315,19555,318,19659,1.0,0.5
JOHOR,570,31025,585,33585,2.6,8.3
PAHANG,454,30621,455,30907,0.2,0.9
TERENGGANU,269,12188,268,12357,-0.4,1.4
KELANTAN,170,6634,173,6792,1.8,2.4
LABUAN,48,2245,48,2245,0.0,0.0
SABAH,601,29127,608,30023,1.2,3.1
SARAWAK,399,20469,410,22105,2.8,8.0
TOTAL,4799,304721,4961,321972,3.4,5.7
