STATE,DOMESTIC_2015,DOMESTIC_2016,DOMESTIC_%CHANGE_2015/2016,FOREIGNER_2015,FOREIGNER_2016,FOREIGNER_%CHANGE_2015/2016,TOTAL_2015,TOTAL_2016,TOTAL_%CHANGE_2015/2016
KUALA LUMPUR,6552354,6715078,2.48,9341801,9636404,3.15,15894155,16351482,2.88
PUTRAJAYA,342993,337901,-1.48,151740,166473,9.71,494733,504374,1.95
SELANGOR,2382290,2440004,2.42,1613299,1624265,0.68,3995589,4064269,1.72
PENANG,3467719,3467402,-0.01,2879899,2911783,1.11,6347618,6379185,0.50
PERAK,2308445,2325974,0.76,265794,267517,0.65,2574239,2593491,0.75
KEDAH,2337021,2474404,5.88,1207824,1281471,6.10,3544845,3755875,5.95
PERLIS,171005,170720,-0.17,5921,5946,0.42,176926,176666,-0.15
N.SEMBILAN,1878207,1902098,1.27,456013,459966,0.87,2334220,2362064,1.19
MELAKA,2778146,2840620,2.25,1809489,1804544,-0.27,4587635,4645164,1.25
JOHOR,4388235,4431801,0.99,2565092,2581983,0.66,6953327,7013784,0.87
PAHANG,6005939,7930172,-0.95,2328815,2369945,1.77,10334754,10300117,-0.34
TERENGGANU,1525116,1516335,-0.58,187388,192530,2.74,1712504,1708865,-0.21
KELANTAN,1121000,1119021,1.61,58527,57644,-1.14,1179527,1196685,1.47
PENINSULAR MALAYSIA,37258479,37691100,1.16,22871402,23160491,1.26,60129872,60851591,1.20
SABAH,4068171,4136390,1.68,1986136,2036610,2.54,6054307,6173000,1.96
SARAWAK,559739,539660,-3.59,116140,111815,-2.04,673879,651475,-3.32
LABUAN,,,,,,,,,
TOTAL,,,,,,,,,
GRAND TOTAL,,,,,,,,,
