STATE,DOMESTIC 2016,DOMESTIC 2017,DOMESTIC % CHANGE 2016/2017,FOREIGNER 2016,FOREIGNER 2017,FOREIGNER % CHANGE 2016/2017,TOTAL 2016,TOTAL 2017,TOTAL % CHANGE 2016/2017
KUALA LUMPUR,6715078,7264872,8.19,9436404,10717479,13.58,16151482,17982351,11.34
PUTRAJAYA,337901,343147,1.55,166473,177602,6.69,504374,520749,3.25
SELANGOR,2440004,2793468,14.49,1624265,1688659,3.96,4064269,4482127,10.28
NEGERI SEMBILAN,1902098,1951414,2.59,459966,461788,0.40,2362064,2413202,2.16
MELAKA,2840620,3086394,8.65,1804544,1704386,-5.55,4645164,4790780,3.13
JOHOR,4431801,4780989,7.88,2581983,2624972,1.66,7013784,7405961,5.59
PAHANG,7830172,8416913,6.14,2369945,2563991,8.19,10300117,10980904,6.61
TERENGGANU,1516335,1621301,6.92,192530,188044,-2.33,1708865,1809345,5.88
KELANTAN,1139021,1143783,0.42,57664,57337,-0.57,1196685,1201120,0.37
PERLIS,170720,177689,4.08,5946,5943,-0.05,176666,183632,3.94
KEDAH,2474404,2591488,4.73,1281471,1407261,9.82,3755875,3998749,6.47
PULAU PINANG,3467402,3470322,0.08,2911783,2911429,-0.01,6379185,6381751,0.04
PERAK,2325974,2466507,6.04,267517,267245,-0.10,2593491,2733752,5.41
PENINSULAR MALAYSIA,37691530,40108287,6.41,23190491,24776136,6.98,60852021,64884423,6.63
SABAH,4136336,4192579,1.36,2036810,2548491,25.13,6173000,6741070,9.20
LABUAN,539660,523031,-3.08,111815,105710,-5.46,651475,628741,-3.49
SARAWAK,4069647,4421786,8.65,599985,599812,-0.03,4669632,5021598,7.54
TOTAL,46437227,49245683,6.05,25908901,28030149,8.19,72346128,77275832,6.81
