STATE,HOTELS 2017,ROOMS 2017,HOTELS 2018,ROOMS 2018,CHANGES HOTELS (%),CHANGES ROOMS (%)
JOHOR,485,28910,487,29558,0.4,2.2
KEDAH,325,18350,339,19010,4.3,3.6
KELANTAN,129,5225,129,5225,0.0,0.0
KUALA LUMPUR,404,52322,435,57286,7.7,9.5
LABUAN,47,2197,47,2197,0.0,0.0
MELAKA,269,16690,305,19354,13.4,16.0
NEGERI SEMBILAN,161,10735,164,10924,1.9,1.8
PAHANG,401,28063,403,28431,0.5,1.3
PERAK,367,17165,368,17237,0.3,0.4
PERLIS,36,1157,39,1299,8.3,12.3
PULAU PINANG,242,20281,242,20306,0.0,0.1
PUTRAJAYA,5,1054,7,1333,40.0,26.5
SABAH,591,27284,590,27181,-0.2,-0.4
SARAWAK,410,22864,554,27338,35.1,19.6
SELANGOR,421,30173,421,31668,0.0,5.0
TERENGGANU,219,9823,220,9860,0.5,0.4
GRAND TOTAL,4512,292293,4750,308207,5.3,5.4
