STATE,DOMESTIC 2017,DOMESTIC 2018,DOMESTIC %CHANGE 2017/2018,FOREIGNER 2017,FOREIGNER 2018,FOREIGNER %CHANGE 2017/2018,TOTAL 2017,TOTAL 2018,TOTAL %CHANGE 2017/2018
KUALA LUMPUR,7264872,8020319,10.39,10717479,11602079,8.25,17982351,19622098,9.12
PUTRAJAYA,343147,350112,2.03,177602,188740,6.27,520749,538852,3.48
SELANGOR,2755468,3631221,29.99,1686859,1998361,18.34,4442327,5629583,25.60
NEGERI SEMBILAN,1951414,2005116,2.75,461788,459279,-0.54,2413202,2464395,2.12
MELAKA,3086394,3388803,9.80,1704386,1555103,-8.76,4790780,4943907,3.20
JOHOR,4780869,5002635,4.64,2624972,2615254,-0.37,7405961,7617889,2.86
PAHANG,8416913,8956297,6.41,2563991,2686594,4.78,10980904,11642891,6.03
TERENGGANU,1621301,1712595,5.63,188044,179556,-4.51,1809345,1892151,4.58
KELANTAN,1143763,1169007,2.21,57337,54074,-5.69,1201120,1223081,1.83
PERLIS,177908,177375,-0.18,5943,5909,-0.56,183851,183285,-0.19
KEDAH,2591488,2661145,2.69,1407261,1589344,12.94,3998749,4250490,6.30
PULAU PINANG,3470322,3639990,4.89,2911429,3016491,3.61,6381751,6656481,4.30
PERAK,2469507,2613616,5.96,264245,291253,8.88,2733752,2904869,6.26
PENINSULAR MALAYSIA,40108286,43327932,8.03,24776136,26243039,5.92,64884423,69569871,7.22
SABAH,4192579,4278378,2.05,2548691,3108364,21.97,6741070,7386742,9.58
LABUAN,523031,443745,-15.16,105710,89643,-15.20,628741,533388,-15.17
SARAWAK,4421786,4396258,-0.58,599812,560512,-6.55,5021598,4956768,-1.29
TOTAL,49245693,52446312,6.50,38036149,30000357,7.03,77375832,81446889,6.09
