STATE,METRIC,STAR_5,STAR_4,STAR_3,STAR_2,STAR_1,STAR_TOTAL,APARTMENT_5,APARTMENT_4,APARTMENT_3,APARTMENT_TOTAL,ORCHID_3,ORCHID_2,ORCHID_1,ORCHID_TOTAL,NOT_QUALIFIED,POST_PONED,GRAND_TOTAL
PERLIS,Total Hotel,0,0,3,7,3,13,0,0,0,0,7,4,2,13,0,0,26
PERLIS,Total Room,0,0,349,243,95,687,0,0,0,0,207,75,35,317,0,0,1004
KEDAH,Total Hotel,10,15,11,14,8,58,0,0,0,0,3,5,9,17,5,42,122
KEDAH,Total Room,1879,2509,2170,1609,908,9075,0,0,0,0,325,300,320,945,243,2948,13211
P.PINANG,Total Hotel,13,23,21,18,6,81,0,0,0,0,9,14,11,34,14,15,144
P.PINANG,Total Room,3622,6900,3230,1166,415,15333,0,0,0,0,188,203,136,527,303,1176,17339
PERAK,Total Hotel,3,11,17,23,17,71,1,0,1,2,17,27,19,63,30,41,207
PERAK,Total Room,480,2806,2269,1425,622,7602,150,0,170,320,592,636,288,1516,1195,2209,12842
SELANGOR,Total Hotel,21,14,24,38,67,164,0,2,0,2,16,27,17,60,23,58,307
SELANGOR,Total Room,6920,3657,2665,2649,2148,18039,0,400,0,400,598,351,424,1373,285,3444,23541
N.SEMBILAN,Total Hotel,5,7,15,10,15,52,0,1,3,4,14,12,11,37,12,23,128
N.SEMBILAN,Total Room,1699,1748,1881,599,529,6456,0,65,646,711,490,286,136,912,203,1613,9895
MELAKA,Total Hotel,10,20,26,29,21,106,0,0,0,0,34,14,7,55,16,56,233
MELAKA,Total Room,3569,5161,3056,1442,725,13953,0,0,0,0,915,375,103,1393,242,2167,17755
JOHOR,Total Hotel,5,19,33,39,19,115,0,1,0,1,24,23,13,60,36,37,249
JOHOR,Total Room,1612,6056,5228,2576,1025,16497,0,284,0,284,821,563,301,1685,818,3406,22690
PAHANG,Total Hotel,9,13,33,25,20,100,0,0,0,0,22,26,27,75,53,74,302
PAHANG,Total Room,2206,1236,11681,2984,1509,19616,0,0,0,0,729,562,501,1792,1316,4464,27188
KELANTAN,Total Hotel,0,5,7,18,7,37,0,0,0,0,18,15,18,51,14,10,112
KELANTAN,Total Room,0,731,731,797,368,2627,0,0,0,0,352,192,429,973,122,729,4451
TERENGGANU,Total Hotel,4,8,20,21,11,64,0,0,0,0,18,20,11,49,13,17,143
TERENGGANU,Total Room,852,1079,2103,1446,289,5769,0,0,0,0,362,408,125,895,132,885,7681
JUMLAH_PENINSULAR,Total Hotel,80,135,210,242,194,861,1,4,4,9,182,187,145,514,216,373,1973
JUMLAH_PENINSULAR,Total Room,22839,31883,35363,16936,8633,115654,150,749,816,1715,5579,3951,2798,12328,4859,23041,157597
SABAH,Total Hotel,11,17,50,53,56,187,0,0,0,0,41,38,42,121,35,34,377
SABAH,Total Room,4231,2019,4848,4738,2111,17947,0,0,0,0,1190,738,766,2694,729,3420,24790
SARAWAK,Total Hotel,7,13,35,32,20,107,0,0,1,1,30,32,52,114,23,38,283
SARAWAK,Total Room,1728,2266,3497,2002,867,10360,0,0,215,215,990,765,822,2577,315,2482,15949
JUMLAH_SABAH_SARAWAK,Total Hotel,18,30,85,85,76,294,0,0,1,1,71,70,94,235,58,72,660
JUMLAH_SABAH_SARAWAK,Total Room,5959,4285,8345,6740,2978,28307,0,0,215,215,2180,1503,1588,5271,1044,5902,40739
K.LUMPUR,Total Hotel,35,28,30,27,21,141,2,10,2,14,10,11,11,32,21,116,324
K.LUMPUR,Total Room,15153,9681,5834,2375,1318,34361,733,2276,243,3252,564,402,552,1518,229,12300,51660
PUTRAJAYA,Total Hotel,3,3,0,1,0,7,0,0,0,0,1,0,0,1,0,0,8
PUTRAJAYA,Total Room,654,751,0,26,0,1431,0,0,0,0,59,0,0,59,0,0,1490
LABUAN,Total Hotel,1,2,3,7,9,22,0,0,0,0,3,2,2,7,0,0,29
LABUAN,Total Room,178,180,292,349,317,1316,0,0,0,0,47,48,30,125,0,0,1441
JUMLAH_WP,Total Hotel,39,33,33,35,30,170,2,10,2,14,14,13,13,40,21,116,361
JUMLAH_WP,Total Room,15985,10612,6126,2750,1635,37108,733,2276,243,3252,670,450,582,1702,229,12300,54591
GRAND_TOTAL,Total Hotel,137,198,328,362,300,1325,3,14,7,24,267,270,252,789,295,561,2994
GRAND_TOTAL,Total Room,44783,46780,49834,26426,13246,181069,883,3025,1274,5182,8429,5904,4968,19301,6132,41243,252927
