STATE,DOMESTIC_2018,DOMESTIC_2019,DOMESTIC_PCT_CHANGE_2018_2019,FOREIGNER_2018,FOREIGNER_2019,FOREIGNER_PCT_CHANGE_2018_2019,TOTAL_2018,TOTAL_2019,TOTAL_PCT_CHANGE_2018_2019
KUALA LUMPUR,8020519,7397154,-7.77,11602079,10931619,-5.78,19622098,18328773,-6.59
PUTRAJAYA,350112,306920,-12.34,188740,178498,-5.43,538852,485418,-9.92
SELANGOR,3435121,3548963,-2.27,1996361,1866153,-6.62,5629582,5415116,-3.81
NEGERI SEMBILAN,2005116,1928835,-3.80,459279,459539,0.06,2464395,2388374,-3.08
MELAKA,3359290,3252525,-3.18,1555103,1465372,-5.77,4914393,4717897,-4.00
JOHOR,5002635,5020019,0.35,2615254,2548685,-2.55,7617889,7568704,-0.65
PAHANG,8956297,8877064,-0.88,2686594,2754449,2.53,11642891,11631513,-0.10
TERENGGANU,1712595,1738426,1.51,179556,179324,-0.13,1892151,1917750,1.35
KELANTAN,1169007,1050577,-10.13,54075,49211,-8.99,1223082,1099798,-10.08
PERLIS,177376,179724,1.32,5392,4306,-20.14,182786,185424,1.17
KEDAH,2661145,2663052,0.07,1589344,1583215,-0.39,4250489,4246217,-0.10
PULAU PINANG,3639990,3541246,-2.71,3016419,2848750,-5.56,6656418,6389996,-4.00
PERAK,2613636,2623351,0.37,291253,293256,0.69,2904889,2916607,0.40
PENINSULAR MALAYSIA,43298419,42127894,-2.70,26242039,25163771,-4.11,69540468,67291627,-3.23
SABAH,4278378,4229391,-1.17,3108364,3057376,-1.64,7386742,7286767,-1.37
LABUAN,443745,430038,-3.09,89643,75447,-15.84,533388,505485,-5.23
SARAWAK,4398257,4306725,-2.08,560511,529599,-3.73,4958768,4846324,-2.27
TOTAL,52418799,51093100,-2.53,30000507,26836193,-3.88,82419266,79929203,-3.02
