STATE,HOTELS 2020,ROOMS 2020,HOTELS 2019,ROOMS 2019
JOHOR,557,33487,565,34911
KEDAH,366,19539,367,19640
KELANTAN,154,5873,154,5851
KUALA LUMPUR,472,60095,480,61967
LABUAN,49,2282,49,2282
MELAKA,327,20374,333,21540
NEGERI SEMBILAN,182,12769,185,12892
PAHANG,482,31175,484,31522
PERAK,468,19116,470,19769
PERLIS,45,1445,45,1379
PULAU PINANG,310,22840,312,23502
PUTRAJAYA,8,1551,8,1551
SABAH,614,28232,618,29453
SARAWAK,581,28511,583,28473
SELANGOR,470,34610,475,35063
TERENGGANU,254,10918,254,10752
GRAND TOTAL,5339,332817,5382,340547
