STATE/LOCALITY,HOTEL 2021,ROOM 2021,HOTEL 2020,ROOM 2020
JOHOR,567,35186,557,33487
KEDAH,346,18548,366,19539
KELANTAN,160,6096,154,5873
KUALA LUMPUR,456,56334,472,60095
LABUAN,47,2285,49,2282
MELAKA,324,19581,327,20374
NEGERI SEMBILAN,168,11096,182,12769
PAHANG,486,33603,482,31175
PERAK,457,18937,468,19116
PERLIS,41,1297,45,1445
PULAU PINANG,283,20558,310,22840
PUTRAJAYA,9,1843,8,1551
SABAH,587,27963,614,28232
SARAWAK,574,28752,581,28511
SELANGOR,428,30850,470,34610
TERENGGANU,237,10562,254,10918
TOTAL,5170,323491,5339,332817
