STATE/LOCALITY,DOMESTIC 2021,DOMESTIC 2020,DOMESTIC % CHANGE,FOREIGNER 2021,FOREIGNER 2020,FOREIGNER % CHANGE,TOTAL 2021,TOTAL 2020,TOTAL % CHANGE
KUALA LUMPUR,2269693,4514383,-49.7,41797,1584088,-97.4,2311490,6098471,-62.1
PUTRAJAYA,131950,173400,-23.9,1443,20874,-93.1,133393,194274,-31.3
SELANGOR,1672198,1653005,1.2,66829,322618,-79.3,1739027,1975623,-12.0
PULAU PINANG,1309198,2336054,-44.0,11190,526295,-97.9,1320388,2862349,-53.9
PERAK,1270301,1128553,12.6,4554,55135,-91.7,1274855,1183688,7.7
KEDAH,1545860,2118912,-27.0,7890,375582,-97.9,1553750,2494494,-37.7
PERLIS,99366,126013,-21.1,88,1113,-92.1,99454,127126,-21.8
NEGERI SEMBILAN,638649,980525,-34.9,8511,66437,-87.2,647160,1046962,-38.2
MELAKA,906686,1262949,-28.2,10445,180422,-94.2,917131,1443371,-36.5
JOHOR,1943093,3472179,-44.0,10180,418237,-97.6,1953273,3890416,-49.8
PAHANG,1911852,6784431,-71.8,7631,517572,-98.5,1919483,7302003,-73.7
TERENGGANU,1222617,1325099,-7.7,1677,19796,-91.5,1224294,1344895,-9.0
KELANTAN,473601,556340,-14.9,1790,4520,-60.4,475391,560860,-15.2
PENINSULAR MALAYSIA,15395064,26431843,-41.8,174025,4092689,-95.7,15569089,30524532,-49.0
SABAH,1255960,1311390,-4.2,3246,486344,-99.3,1259206,1797734,-30.0
LABUAN,146331,251661,-41.9,2003,21737,-90.8,148334,273398,-45.7
SARAWAK,3074724,2709100,13.5,9466,100257,-90.6,3084190,2809357,9.8
GRAND TOTAL,19872079,30703994,-35.3,188740,4701027,-96.0,20060819,35405021,-43.3
