LOCALITY,AOR_2022_PCT,AOR_2021_PCT,AOR_2019_PCT,DIFF_2022_2021,DIFF_2022_2019
KUALA LUMPUR,49.0,23.6,59.9,25.4,-10.9
PUTRAJAYA,51.2,28.1,64.2,23.1,-13.0
SELANGOR,53.7,30.9,56.4,22.8,-2.7
PULAU PINANG,44.1,22.5,56.5,21.6,-12.4
PERAK,54.8,27.6,43.9,27.2,10.9
KEDAH,32.5,23.2,55.7,9.3,-23.2
PERLIS,42.0,22.3,36.0,19.7,6.0
NEGERI SEMBILAN,38.7,22.7,51.9,16.0,-13.2
MELAKA,40.1,25.8,51.7,14.3,-11.6
JOHOR,48.3,24.9,57.3,23.4,-9.0
PAHANG,46.1,19.6,79.4,26.5,-33.3
TERENGGANU,55.3,44.3,41.3,11.0,14.0
KELANTAN,46.4,34.3,43.4,12.1,3.0
SABAH,45.2,21.8,65.8,23.4,-20.6
LABUAN,35.3,27.7,42.2,7.6,-6.9
SARAWAK,57.4,49.6,46.1,7.8,11.3
MALAYSIA,46.7,28.2,58.8,18.5,-12.1
