STATE,HOTEL_2022,ROOM_2022,HOTEL_2021,ROOM_2021,HOTEL_2019,ROOM_2019
JOHOR,535,34294,567,35186,565,34911
KEDAH & LANGKAWI,312,17585,346,18548,367,19640
KELANTAN,196,6075,160,6096,154,5851
KUALA LUMPUR,158,55641,466,56334,480,61967
LABUAN,47,2284,47,2285,49,2282
MELAKA,350,19343,324,19581,333,21540
NEGERI SEMBILAN,161,11129,168,11096,185,12892
PAHANG,500,34183,486,33603,484,31522
PERAK,488,19976,457,18937,470,19769
PERLIS,41,1361,41,1297,45,1379
PULAU PINANG,362,24704,283,20558,312,23502
PUTRAJAYA,9,1937,9,1843,8,1551
SABAH,479,25344,587,27963,618,29453
SARAWAK,495,25610,574,28752,583,28473
SELANGOR,439,32241,428,30850,475,35063
TERENGGANU,253,10993,237,10562,254,10752
JUMLAH,4825,322700,5170,323491,5382,340547
