STATE,DOMESTIC_2022,DOMESTIC_2021,DOMESTIC_2019,DOMESTIC_PCT_22_21,DOMESTIC_PCT_22_19,FOREIGNER_2022,FOREIGNER_2021,FOREIGNER_2019,FOREIGNER_PCT_22_21,FOREIGNER_PCT_22_19,TOTAL_2022,TOTAL_2021,TOTAL_2019,TOTAL_PCT_22_21,TOTAL_PCT_22_19
KUALA LUMPUR,8330471,2269693,7397154,267.0,12.6,4281244,41797,10931619,10142.9,-60.8,12611715,2311490,18328773,446,-31.2
PUTRAJAYA,398834,131950,306920,202.3,29.9,56610,1443,178498,3823.1,-68.3,455444,133393,485418,241,-6.2
SELANGOR,5170158,1672198,3548963,209.2,45.7,1572497,66829,1866153,2253.0,-15.7,6742655,1739027,5415116,288,24.5
PULAU PINANG,4327806,1309198,3541246,230.6,22.2,1256628,11190,2848750,11129.9,-55.9,5584434,1320388,6389995,323,-12.6
PERAK,4387020,1270301,2623351,245.4,67.2,333306,4554,293256,7219.0,13.7,4720326,1274855,2916607,270,61.8
KEDAH,3214369,1545860,2663052,107.9,20.7,589439,7890,1583215,7370.7,-62.8,3803808,1553750,4246267,145,-10.4
NEGERI SEMBILAN,1887811,638649,1928835,195.6,-2.1,89048,3511,459539,2436.3,-80.6,1976859,647160,2388373,205,-17.2
PERLIS,264470,99366,179724,166.2,47.2,4709,88,5700,5251.1,-17.4,269179,99454,185424,171,45.2
MELAKA,3275627,906686,3252526,261.3,0.7,536249,10445,1465374,5034.0,-63.4,3811876,917131,4717899,316,-19.2
JOHOR,5730117,1943093,5020019,194.9,14.1,2039675,10180,2548685,19936.1,-20.0,7769792,1953273,7568704,298,2.7
PAHANG,8329953,1911852,8877064,335.7,-6.2,1689554,7631,2754449,22040.7,-38.7,10019507,1919483,11631513,422,-13.9
TERENGGANU,2701850,1222617,1738426,121.0,55.4,86846,1677,179324,5078.7,-51.6,2788696,1224294,1917750,128,45.4
KELANTAN,1267208,473601,1050577,167.6,20.6,36969,1790,49211,1965.3,-24.9,1304177,475391,1099788,174,18.6
PENINSULAR MALAYSIA,49285694,15395064,42127855,220.1,17.0,12572774,174025,25163771,7125.0,-50.0,61858468,15569089,67291626,297,-8.0
SABAH,4731974,1255960,4228391,276.8,11.9,677103,3246,3057376,20759.6,-77.9,5409077,1259206,7285767,330,-25.8
LABUAN,354819,146331,430038,142.5,-17.5,31025,2003,75447,1448.9,-58.9,385844,148334,505485,160,-23.7
SARAWAK,5676138,3074724,4306725,84.6,31.8,618251,9466,539599,6431.3,14.6,6294389,3084190,4846324,104,29.9
GRAND TOTAL,60048624,19872079,51093010,202.2,17.5,13899153,188740,28836193,7264.2,-51.8,73947777,20060819,79929203,268.6,-7.5
