STATE / LOCALITY,2023 (%),2022 (%),2019 (%),DIFF 2023/2022,DIFF 2023/2019
KUALA LUMPUR,59.1,49.0,59.9,10.1,-0.8
PUTRAJAYA,55.0,51.2,64.2,3.8,-9.2
SELANGOR,49.9,53.7,56.4,-3.8,-6.5
PULAU PINANG,52.9,44.1,56.5,8.8,-3.6
PERAK,47.3,54.8,43.9,-7.5,3.4
KEDAH,43.4,32.5,55.7,10.9,-12.3
PERLIS,42.2,42.0,36.0,0.2,6.2
NEGERI SEMBILAN,41.0,38.7,51.9,2.3,-10.9
MELAKA,44.7,40.1,51.7,4.6,-7.0
JOHOR,50.7,48.3,57.3,2.4,-6.6
PAHANG,74.1,46.1,79.4,28.0,-5.3
TERENGGANU,44.8,55.3,41.3,-10.5,3.5
KELANTAN,41.2,46.4,43.4,-5.2,-2.2
SABAH,49.0,45.2,65.8,3.8,-16.8
LABUAN,33.2,45.2,33.9,-12.0,-0.7
SARAWAK,46.0,57.4,46.1,-11.4,-0.1
MALAYSIA,52.9,46.7,58.8,6.2,-5.9
