STATE,TOTAL INCOME (RM),TOURIST ARRIVALS DOMESTIC,TOURIST ARRIVALS FOREIGNER,TOURIST ARRIVALS TOTAL
PERLIS,198437.00,4752,5,4757
KEDAH,1238517.43,20694,76,20770
PULAU PINANG,1387849.00,47993,5345,53338
PERAK,684081.00,8515,103,8618
SELANGOR,1843242.00,29642,997,30639
MELAKA,1352141.04,11032,693,11725
NEGERI SEMBILAN,1288969.50,6376,1028,7404
JOHOR,4811683.00,369662,7472,377134
KELANTAN,222945.00,3788,2,3790
TERENGGANU,2775238.00,4023,328,4351
PAHANG,11354932.20,155507,94,155601
SARAWAK,3286653.62,37553,2687,40240
SABAH,9692832.72,111834,50976,162810
LABUAN,319799.00,2830,0,2830
TOTAL,40457321.51,814201,69806,884007
