STATE / LOCALITY,2023 HOTEL,2023 ROOM,2022 HOTEL,2022 ROOM,2019 HOTEL,2019 ROOM
JOHOR,548,35208,535,34294,494,31436
KEDAH & LANGKAWI,330,19629,312,17585,340,18954
KELANTAN,169,6269,158,6075,129,5225
KUALA LUMPUR,448,60872,423,55641,444,58478
LABUAN,49,2372,47,2284,45,3103
MELAKA,355,19961,350,19343,306,20189
NEGERI SEMBILAN,161,10643,161,11129,171,12332
PAHANG,503,33387,500,34183,406,28203
PERAK,487,19763,488,19976,365,16986
PERLIS,84,1444,41,1361,40,1388
PULAU PINANG,364,25543,362,24704,253,21227
PUTRAJAYA,12,2508,9,1937,7,1098
SABAH,532,26706,479,25344,601,27995
SARAWAK,503,26592,495,25610,556,27376
SELANGOR,444,32656,439,32241,425,32243
TERENGGANU,255,10927,253,10993,244,10736
GRAND TOTAL,5204,333780,5052,322100,4826,315969
