STATE / LOCALITY,DOMESTIC 2023,DOMESTIC 2022,DOMESTIC 2019,DOMESTIC % CHANGE 23/22,DOMESTIC % CHANGE 23/19,FOREIGNER 2023,FOREIGNER 2022,FOREIGNER 2019,FOREIGNER % CHANGE 23/22,FOREIGNER % CHANGE 23/19,TOTAL 2023,TOTAL 2022,TOTAL 2019,TOTAL % CHANGE 23/22,TOTAL % CHANGE 23/19
KUALA LUMPUR,9712689,8330471,7397154,16.6,31.3,8701788,4281244,10931619,103.3,-20.4,18414469,12611715,18328773,46.0,0.5
PUTRAJAYA,508102,398834,306920,27.4,65.5,151626,56610,178498,167.8,-15.1,659728,455444,485418,44.9,35.9
SELANGOR,5985054,5170158,3548963,15.8,68.6,2787168,1572497,1866153,77.2,49.4,8772223,6742655,5415116,30.1,62.0
PULAU PINANG,4795567,4327806,3541246,10.8,35.4,2476959,1256628,2848750,97.1,-13.1,7272526,5584434,6389996,30.2,13.8
PERAK,4274117,4387020,2623351,-2.6,62.9,867665,333306,292256,160.3,195.9,5141782,4720326,2915607,8.9,76.3
KEDAH,2761947,3214369,2663092,-14.1,3.7,1561751,589439,1583215,165.0,-1.4,4323697,3803808,4246267,13.7,1.8
PERLIS,317353,264470,179724,20.0,76.6,6730,4709,5700,42.9,18.1,324083,269179,185424,20.4,74.8
NEGERI SEMBILAN,2097075,1887811,1928835,11.1,8.7,340372,89048,459539,282.2,-25.9,2437448,1976859,2388374,23.3,2.1
MELAKA,3363245,3275627,3252526,2.7,3.4,1538630,536249,1465374,186.9,5.0,4901875,3811876,4717899,28.6,3.9
JOHOR,6055964,5730117,5020019,5.7,20.6,3531649,2039675,2548685,73.1,38.6,9587613,7769792,7568704,23.4,26.7
PAHANG,10222376,8329953,8877064,22.7,15.2,3212597,1689554,2764449,90.1,16.6,13434973,10019507,11631513,34.1,15.5
TERENGGANU,2378908,2701850,1728426,-12.0,36.8,206327,86846,179324,137.6,15.1,2585235,2788696,1917750,-7.3,34.8
KELANTAN,1343953,1267208,1050577,6.1,27.9,59273,36969,49211,60.3,20.4,1403226,1304177,1099788,7.6,27.6
PENINSULAR MALAYSIA,53816349,49285693,42127855,9.2,27.7,25442629,12572774,25163771,102.4,1.1,79258878,61858467,67291626,28.1,17.8
SABAH,4489761,4731974,4228391,-5.1,6.2,2221201,677103,3057376,228.0,-27.3,6710982,5409077,7285767,24.1,-7.9
LABUAN,591083,354819,430038,66.6,37.4,77075,31025,75447,148.4,2.2,668158,385844,505485,73.2,32.2
SARAWAK,5402584,5676138,4306725,-4.8,25.4,1218196,618251,539599,97.0,125.8,6620780,6294389,4846324,5.2,36.6
GRAND TOTAL,64299777,60048624,51093010,7.1,25.8,28959021,13899153,28836193,108.4,0.4,93258798,73947777,79929203,26.1,16.7
