state,aor_2024,aor_2023,aor_2019,pct_diff_2024_2023,pct_diff_2024_2019
KUALA LUMPUR,62.6,59.1,59.9,3.5,2.7
PUTRAJAYA,56.5,55.0,66.2,1.5,-9.7
SELANGOR,51.6,49.9,56.4,1.7,-4.8
PULAU PINANG,56.8,52.9,56.5,3.9,0.3
PERAK,46.9,47.3,43.9,-0.4,3.0
KEDAH,46.6,43.4,55.7,3.2,-9.1
PERLIS,41.0,42.2,36.0,-1.2,5.0
NEGERI SEMBILAN,42.2,41.0,51.9,1.2,-9.7
MELAKA,45.4,44.7,51.7,0.7,-6.3
JOHOR,52.3,50.7,57.3,1.6,-5.0
PAHANG,75.6,74.1,79.4,1.5,-3.8
TERENGGANU,46.3,44.8,41.3,1.5,5.0
KELANTAN,43.2,41.2,43.4,2.0,-0.2
SABAH,51.6,49.0,65.8,2.6,-14.2
LABUAN,37.0,33.3,42.2,3.7,-5.2
SARAWAK,47.7,46.0,46.1,1.7,1.6
GRAND TOTAL,54.9,52.9,58.8,2.0,-3.9
