state,total_income_rm,domestic_pax,foreigner_pax,total_pax
PERLIS,268340,3969,8,3977
KEDAH,1557841,26703,256,26959
PULAU PINANG,1880838,48110,20055,68165
PERAK,973007,14706,717,15423
SELANGOR,2024006,22269,2757,25026
MELAKA,1635572,16132,1410,17542
NEGERI SEMBILAN,1951136,13109,1288,14397
JOHOR,8605467,221488,21381,242869
KELANTAN,441478,10480,16,10496
TERENGGANU,2499851,15241,637,15878
PAHANG,10674498,126930,99,127029
SARAWAK,6697972,52927,3046,55973
SABAH,15155139,135542,66511,202053
LABUAN,551580,4006,10,4016
TOTAL,54896725,711412,118191,829803
