state,hotel_2024,room_2024,hotel_2023,room_2023,hotel_2019,room_2019
JOHOR,552,36043,548,35208,565,36911
KEDAH & LANGKAWI,328,18602,330,19029,367,19660
KELANTAN,170,6362,169,6269,154,5851
KUALA LUMPUR,464,63973,448,60872,480,61747
LABUAN,50,2296,49,2272,49,2282
MELAKA,354,20159,355,19961,333,21540
NEGERI SEMBILAN,166,10856,161,10663,185,12892
PAHANG,501,34323,503,33387,484,31522
PERAK,481,19299,487,19763,470,19769
PERLIS,44,1489,44,1444,45,1379
PULAU PINANG,376,26692,364,25543,312,23502
PUTRAJAYA,13,2580,12,2508,8,1381
SABAH,540,27208,532,26706,618,29453
SARAWAK,522,27913,523,26592,583,28473
SELANGOR,460,34883,444,32656,475,35063
TERENGGANU,256,11190,255,10927,254,10752
GRAND TOTAL,5277,343866,5204,333780,5382,340547
