state,dom_2024,dom_2023,dom_2019,dom_pct_2024_2023,dom_pct_2024_2019,for_2024,for_2023,for_2019,for_pct_2024_2023,for_pct_2024_2019,total_2024,total_2023,total_2019,total_pct_2024_2023,total_pct_2024_2019
KUALA LUMPUR,9781082,9712689,7397154,0.7,32.2,12129440,8701780,10931619,39.4,11.0,21910522,18414469,18328773,19.0,19.5
PUTRAJAYA,555827,508102,306920,9.4,81.1,221593,151626,178498,46.1,24.1,777420,659728,485418,17.8,60.2
SELANGOR*,6089647,5985054,3548963,1.7,71.6,3432226,2787168,1866153,23.1,83.9,9521873,8772223,5415116,8.5,75.8
PULAU PINANG*,5064587,4795567,3541246,5.6,43.0,3179396,2476959,2848750,28.4,11.6,8243983,7272526,6389996,13.4,29.0
PERAK*,4232520,4274117,2623351,-1.0,61.3,961492,867665,293256,10.8,227.9,5194012,5141782,2916607,1.0,78.1
KEDAH*,2876480,2761947,2663052,4.1,8.0,1945168,1561751,1583215,24.6,22.9,4821648,4323697,4246267,11.5,13.6
PERLIS*,314877,317353,179724,-0.8,75.2,8429,6730,5700,25.2,47.9,323306,324083,185424,-0.2,74.4
NEGERI SEMBILAN*,2038374,2097075,1928835,-2.8,5.7,450707,340372,459539,32.4,-1.9,2489081,2437448,2388374,2.1,4.2
MELAKA*,3481179,3363245,3232526,3.5,7.0,1539516,1538630,1485374,0.1,5.1,5020695,4901875,4717899,2.4,6.4
JOHOR*,7082360,6055964,5020019,16.9,41.1,3221442,3531649,2548685,-8.8,26.4,10303802,9587613,7568704,7.5,36.1
PAHANG**,9866683,9551216,8877064,3.3,11.1,2956196,2823860,2754469,4.7,7.3,12822879,12375076,11631513,3.6,10.2
TERENGGANU*,2439721,2378908,1738426,2.6,40.3,278526,206327,179324,35.0,55.3,2718247,2585235,1917750,5.1,41.7
KELANTAN*,1398526,1343953,1050577,4.1,33.1,58670,59273,49211,-1.0,19.2,1457196,1403226,1099788,3.8,32.5
PENINSULAR MALAYSIA,55221863,53145189,42127855,3.9,31.1,30382801,25053792,25163771,21.3,20.7,85604664,78198981,67291626,9.5,27.2
SABAH*,4105912,4489761,4228391,-8.5,-2.9,2938211,2221221,3057376,32.3,-3.9,7044123,6710982,7285767,5.0,-3.3
LABUAN**,399785,367584,430038,8.8,-7.0,51978,51615,75447,0.7,-31.1,451763,419199,505485,7.8,-10.6
SARAWAK*,5782026,5402584,4306725,7.0,34.3,1245889,1218196,539599,2.3,130.9,7027915,6620780,4846324,6.1,45.0
GRAND TOTAL,65509586,63405118,51093010,3.3,28.2,34618879,28544824,28836193,21.3,20.1,100128465,91949942,79929203,8.9,25.3
