State,Oct,Nov,Dec,AOR Q4,January - December
Kuala Lumpur,70.4,71.3,72.8,71.5,66.9
Putrajaya,55.0,53.1,60.9,56.4,56.0
Selangor,58.5,60.0,57.3,58.6,54.8
Pulau Pinang,61.0,58.5,65.3,61.6,58.6
Perak,50.6,44.3,51.1,48.7,46.4
Kedah,49.1,48.8,55.3,51.1,50.9
Perlis,40.9,39.7,46.9,42.5,41.7
Negeri Sembilan,47.1,46.8,50.4,48.1,44.2
Melaka,52.3,47.2,52.1,50.6,46.1
Johor,53.1,53.1,61.3,55.9,54.2
Pahang,75.6,78.6,75.5,76.6,76.3
Terengganu,53.3,37.6,35.0,42.3,45.6
Kelantan,46.8,34.3,30.0,37.1,43.5
Sabah,55.8,47.0,56.1,53.0,54.1
Labuan,43.4,40.2,36.4,40.0,39.4
Sarawak,49.4,47.0,49.5,48.6,47.3
MALAYSIA,59.3,56.5,59.6,58.5,56.8
