BY LOCALITY,DOMESTIC 2025,DOMESTIC 2024,DOMESTIC % CHANGE 25/24,FOREIGNER 2025,FOREIGNER 2024,FOREIGNER % CHANGE 25/24,TOTAL 2025,TOTAL 2024,TOTAL % CHANGE 25/24
KUALA LUMPUR,"10,353,924","9,781,082",5.9,"13,383,492","12,129,440",10.3,"23,737,416","21,910,522",8.3
PUTRAJAYA,"566,830","555,827",2.0,"222,220","221,593",0.3,"789,050","777,420",1.5
SELANGOR,"6,296,432","6,089,647",3.4,"3,614,885","3,432,226",5.3,"9,911,317","9,521,873",4.1
PULAU PINANG,"5,293,653","5,064,587",4.5,"3,472,459","3,179,396",9.2,"8,766,112","8,243,983",6.3
PERAK,"4,291,891","4,232,520",1.4,"944,578","961,492",(1.8),"5,236,469","5,194,012",0.8
KEDAH,"3,121,208","2,876,480",8.5,"2,109,996","1,945,168",8.5,"5,231,204","4,821,648",8.5
PERLIS,"324,884","314,877",3.2,"8,334","8,429",(1.1),"333,218","323,306",3.1
NEGERI SEMBILAN,"2,154,435","2,038,374",5.7,"497,085","450,707",10.3,"2,651,520","2,489,081",6.5
MELAKA,"3,484,720","3,481,179",0.1,"1,654,330","1,539,516",7.5,"5,139,050","5,020,695",2.4
JOHOR,"7,382,730","7,082,360",4.2,"3,250,524","3,221,442",0.9,"10,633,254","10,303,802",3.2
PAHANG,"10,011,366","9,866,683",1.5,"2,953,226","2,956,196",(0.1),"12,964,592","12,822,879",1.1
TERENGGANU,"2,414,955","2,439,721",(1.0),"276,786","278,526",(0.6),"2,691,741","2,718,247",(1.0)
KELANTAN,"1,399,111","1,398,526",0.04,"59,329","58,670",1.1,"1,458,440","1,457,196",0.1
PENINSULAR MALAYSIA,"57,096,139","55,221,863",3.4,"32,447,244","30,382,801",6.8,"89,543,383","85,604,664",4.6
SABAH,"4,445,738","4,105,912",8.3,"2,900,293","2,938,211",(1.3),"7,346,031","7,044,123",4.3
LABUAN,"423,944","399,785",6.0,"55,107","51,978",6.0,"479,051","451,763",6.0
SARAWAK,"5,760,526","5,782,026",(0.4),"1,222,481","1,245,889",(1.9),"6,983,007","7,027,915",(0.6)
GRAND TOTAL,"67,726,347","65,509,586",3.4,"36,625,125","34,618,879",5.8,"104,351,472","100,128,465",4.2
